Unnamed: 0,CLE,PIT
First Downs,21,30
Rush-Yds-TDs,28-38-1,20-89-1
Cmp-Att-Yd-TD-INT,26-43-429-3-1,30-48-367-3-2
Sacked-Yards,2-20,3-24
Net Pass Yards,409,343
Total Yards,447,432
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,9-75,4-35
Third Down Conv.,8-17,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,33:02,26:58
