Unnamed: 0,NYG,LVR
First Downs,15,15
Rush-Yds-TDs,25-123-0,34-125-3
Cmp-Att-Yd-TD-INT,19-29-200-1-2,16-25-209-0-0
Sacked-Yards,8-46,0-0
Net Pass Yards,154,209
Total Yards,277,334
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,3-8,4-30
Third Down Conv.,3-12,5-14
Fourth Down Conv.,1-5,0-1
Time of Possession,31:04,28:56
