Quarter,Time,Tm,Detail,NYG,LVR
1.0,9:45,Raiders,Jakobi Meyers 17 yard rush (Daniel Carlson kick),0,7
2.0,5:06,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),0,14
,1:57,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),0,21
,0:04,Raiders,Daniel Carlson 24 yard field goal,0,24
3.0,8:23,Raiders,Daniel Carlson 46 yard field goal,0,27
4.0,14:11,Giants,Wan'Dale Robinson 9 yard pass from Tommy DeVito (pass failed),6,27
,9:29,Raiders,Daniel Carlson 41 yard field goal,6,30
