Unnamed: 0,PIT,BAL
First Downs,17,18
Rush-Yds-TDs,25-70-0,38-104-0
Cmp-Att-Yd-TD-INT,21-38-246-1-1,21-36-163-1-1
Sacked-Yards,6-34,5-26
Net Pass Yards,212,137
Total Yards,282,241
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,10-62,11-70
Third Down Conv.,4-15,7-20
Fourth Down Conv.,0-1,0-0
Time of Possession,34:00,36:51
