Quarter,Time,Tm,Detail,PIT,BAL
2,14:17,Ravens,Matt Stover 47 yard field goal,0,3
,9:53,Steelers,Jeff Reed 44 yard field goal,3,3
,6:09,Ravens,Randy Hymes 3 yard pass from Kyle Boller (Matt Stover kick),3,10
,4:29,Steelers,Jeff Reed 37 yard field goal,6,10
,0:14,Ravens,Matt Stover 25 yard field goal,6,13
4,5:15,Steelers,Willie Parker 11 yard pass from Tommy Maddox (Jeff Reed kick),13,13
OT,4:09,Ravens,Matt Stover 44 yard field goal,13,16
