Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 67 yards, returned by Chester Taylor for 32 yards (tackle by Tyrone Carter)",0.000,1.270
1,14:54,1,10,BAL 35,0,0,Jamal Lewis right end for 6 yards (tackle by Ike Taylor),1.270,1.530
1,14:33,2,4,BAL 41,0,0,Jamal Lewis up the middle for 2 yards (tackle by Clint Kriewaldt),1.530,1.090
1,13:57,3,2,BAL 43,0,0,Jamal Lewis right tackle for 5 yards (tackle by Chris Hope and Joey Porter),1.090,2.130
1,13:19,1,10,BAL 48,0,0,Kyle Boller pass complete to Derrick Mason for 6 yards (tackle by Ike Taylor),2.130,2.390
1,12:41,2,4,PIT 46,0,0,Jamal Lewis left guard for no gain (tackle by Joey Porter),2.390,1.680
1,12:04,3,4,PIT 46,0,0,Kyle Boller sacked by Aaron Smith for -2 yards,1.680,0.070
1,11:45,4,6,PIT 48,0,0,"Dave Zastudil punts 48 yards, touchback",0.070,-0.280
1,11:36,1,10,PIT 20,0,0,Willie Parker right tackle for 5 yards (tackle by Chris McAlister and Bart Scott),0.280,0.410
1,11:00,2,5,PIT 25,0,0,Tommy Maddox pass incomplete intended for Willie Parker (defended by Bart Scott),0.410,-0.300
1,10:57,3,5,PIT 25,0,0,Tommy Maddox pass incomplete intended for Quincy Morgan (defended by Chris McAlister). Penalty on Quincy Morgan: Offensive Pass Interfere (Declined),-0.300,-1.700
1,10:52,4,5,PIT 25,0,0,"Chris Gardocki punts 45 yards, returned by B.J. Sams for 30 yards (tackle by Ricardo Colclough)",-1.700,-2.920
1,10:40,1,10,PIT 40,0,0,Kyle Boller pass complete to Mark Clayton for 16 yards (tackle by Deshea Townsend),2.920,3.970
1,10:17,1,10,PIT 24,0,0,"Jamal Lewis right tackle for no gain. Penalty on Tony Pashos: Offensive Holding, 10 yards (no play)",3.970,3.310
1,9:55,1,20,PIT 34,0,0,Jamal Lewis right tackle for 1 yard (tackle by Ike Taylor and Clark Haggans),3.310,2.220
1,9:19,2,19,PIT 33,0,0,Kyle Boller pass incomplete intended for Derrick Mason is intercepted by Deshea Townsend at PIT-13 and returned for 26 yards,2.220,-1.530
1,9:08,1,10,PIT 39,0,0,Willie Parker up the middle for 2 yards (tackle by Adalius Thomas),1.530,1.260
1,8:30,2,8,PIT 41,0,0,Tommy Maddox pass complete to Dan Kreider for 5 yards (tackle by Adalius Thomas),1.260,1.220
1,7:48,3,3,PIT 46,0,0,Verron Haynes up the middle for no gain (tackle by Bart Scott and Adalius Thomas),1.220,-0.320
1,7:06,4,3,PIT 46,0,0,"Chris Gardocki punts 54 yards, touchback",-0.320,-0.280
1,6:54,1,10,BAL 20,0,0,Chester Taylor up the middle for 9 yards (tackle by Larry Foote and Chris Hope),0.280,0.950
1,6:16,2,1,BAL 29,0,0,Chester Taylor left guard for 5 yards,0.950,1.200
1,5:39,1,10,BAL 34,0,0,Chester Taylor left tackle for -4 yards (tackle by Chris Hope),1.200,0.120
1,5:00,2,14,BAL 30,0,0,Kyle Boller pass incomplete intended for Todd Heap (defended by Ike Taylor),0.120,-0.560
1,4:54,3,14,BAL 30,0,0,Kyle Boller right end for 3 yards,-0.560,-1.180
1,4:37,4,11,BAL 33,0,0,"Dave Zastudil punts 52 yards, returned by Antwaan Randle El for no gain. Penalty on Chidi Iwuoma: Personal Foul, 7 yards",-1.180,0.380
1,4:26,1,10,PIT 8,0,0,Willie Parker right tackle for 2 yards (tackle by Kelly Gregg and Anthony Weaver),-0.380,-0.630
1,3:46,2,8,PIT 10,0,0,Tommy Maddox pass complete to Heath Miller for 5 yards (tackle by Bart Scott),-0.630,-0.600
1,3:19,3,3,PIT 15,0,0,Tommy Maddox pass incomplete,-0.600,-2.440
1,3:15,4,3,PIT 15,0,0,"Chris Gardocki punts 57 yards, returned by B.J. Sams for 5 yards (tackle by Clint Kriewaldt)",-2.440,-1.140
1,3:03,1,10,BAL 33,0,0,Kyle Boller pass complete to Mark Clayton for 5 yards (tackle by Deshea Townsend),1.140,1.270
1,2:29,2,5,BAL 38,0,0,Chester Taylor up the middle for 1 yard (tackle by Larry Foote and Clint Kriewaldt),1.270,0.700
1,1:53,3,4,BAL 39,0,0,"Kyle Boller pass complete to Todd Heap for 1 yard. Penalty on James Harrison: Roughing the Passer, 15 yards",0.700,2.590
1,1:29,1,10,PIT 45,0,0,Kyle Boller pass incomplete intended for Mark Clayton,2.590,2.040
1,1:22,2,10,PIT 45,0,0,Chester Taylor right guard for 1 yard (tackle by Chris Hoke and Joey Porter),2.040,1.490
1,0:40,3,9,PIT 44,0,0,Kyle Boller pass complete to Chester Taylor for 14 yards (tackle by Ike Taylor),1.490,3.580
1,0:11,1,10,PIT 30,0,0,Jamal Lewis left tackle for -1 yards (tackle by Aaron Smith and Chris Hope),3.580,2.900
Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
