Quarter,Time,Down,ToGo,Location,STL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 64 yards, returned by Dante Hall for 13 yards (tackle by Ryan Nece)",0.000,0.150
1,14:53,1,10,STL 19,0,0,Marc Bulger pass complete short left to Torry Holt for 8 yards (tackle by Derrick Brooks),0.150,0.750
1,14:34,2,2,STL 27,0,0,Steven Jackson up the middle for 2 yards (tackle by Greg Spires and Barrett Ruud),0.750,0.870
1,13:57,1,10,STL 29,0,0,Steven Jackson right guard for 5 yards (tackle by Barrett Ruud),0.870,1.000
1,13:27,2,5,STL 34,0,0,Marc Bulger pass complete short right to Brian Leonard for 6 yards (tackle by Brian Kelly),1.000,1.600
1,12:46,1,10,STL 40,0,0,Steven Jackson up the middle for 2 yards (tackle by Kevin Carter and Chris Hovan),1.600,1.320
1,12:12,2,8,STL 42,0,0,Steven Jackson left guard for 4 yards (tackle by Greg Spires),1.320,1.160
1,11:36,3,4,STL 46,0,0,Steven Jackson left tackle for 2 yards (tackle by Stylez G. White and Greg Peterson),1.160,-0.190
1,10:51,4,2,STL 48,0,0,"Donnie Jones punts 52 yards, touchback",-0.190,-0.280
1,10:40,1,10,TAM 20,0,0,Cadillac Williams left tackle for 2 yards (tackle by Ronald Bartell),0.280,0.000
1,10:11,2,8,TAM 22,0,0,Jeff Garcia pass complete short left to Joey Galloway for 10 yards (tackle by Ronald Bartell),0.000,1.070
1,9:42,1,10,TAM 32,0,0,Jeff Garcia pass complete short middle to Joey Galloway for 14 yards (tackle by Jonathan Wade),1.070,1.990
1,9:05,1,10,TAM 46,0,0,Cadillac Williams right end for 3 yards (tackle by La'Roi Glover and Brandon Chillar),1.990,1.860
1,8:14,2,7,TAM 49,0,0,Michael Pittman up the middle for 12 yards (tackle by La'Roi Glover),1.860,2.980
1,7:31,1,10,STL 39,0,0,Jeff Garcia pass incomplete short right intended for Alex Smith,2.980,2.440
1,7:23,2,10,STL 39,0,0,Cadillac Williams left end for -1 yards (tackle by Will Witherspoon),2.440,1.620
1,6:41,3,11,STL 40,0,0,Jeff Garcia pass complete short left to Michael Pittman for 4 yards (tackle by Jonathan Wade),1.620,0.880
1,5:40,4,7,STL 36,0,0,Matt Bryant 54 yard field goal no good,0.880,-1.140
1,5:36,1,10,STL 33,0,0,Marc Bulger pass complete short left to Steven Jackson for 4 yards (tackle by Tanard Jackson),1.140,1.130
1,5:04,2,6,STL 37,0,0,Marc Bulger pass complete short right to Isaac Bruce for 3 yards (tackle by Derrick Brooks),1.130,0.830
1,4:30,3,3,STL 40,0,0,Marc Bulger pass complete short right to Isaac Bruce for 11 yards,0.830,2.320
1,4:08,1,10,TAM 49,0,0,Steven Jackson up the middle for 3 yards (tackle by Derrick Brooks and Jermaine Phillips),2.320,2.190
1,3:31,2,7,TAM 46,0,0,Steven Jackson right end for 3 yards (tackle by Barrett Ruud and Ronde Barber),2.190,1.880
1,2:47,3,4,TAM 43,0,0,Marc Bulger pass incomplete short right intended for Brian Leonard,1.880,0.400
1,2:43,4,4,TAM 43,0,0,Donnie Jones punts 42 yards,0.400,0.380
1,2:32,1,10,TAM 1,0,0,Cadillac Williams up the middle for 2 yards (tackle by Corey Chavous),-0.380,-0.630
1,1:59,2,8,TAM 3,0,0,Jeff Garcia right end for 4 yards (tackle by Chris Draft),-0.630,-0.720
1,1:18,3,4,TAM 7,0,0,Jeff Garcia pass incomplete short middle intended for Ike Hilliard,-0.720,-2.490
1,1:09,4,4,TAM 7,0,0,Josh Bidwell punts 47 yards,-2.490,-1.990
1,0:56,1,10,STL 46,0,0,Steven Jackson left tackle for -1 yards (tackle by Gaines Adams),1.990,1.320
1,0:21,2,11,STL 45,0,0,Steven Jackson up the middle for 13 yards (tackle by Jermaine Phillips),1.320,2.790
Quarter,Time,Down,ToGo,Location,STL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 42,0,0,Steven Jackson up the middle for 6 yards (tackle by Jermaine Phillips),2.790,3.050
2,15:00,2,4,TAM 36,0,0,"Penalty on Claude Terrell: False Start, 5 yards (no play)",3.050,2.380
2,14:08,2,9,TAM 41,0,0,Brian Leonard left guard for 6 yards (tackle by Jovan Haye and Derrick Brooks),2.380,2.480
2,13:30,3,3,TAM 35,0,0,Marc Bulger pass incomplete short right intended for Isaac Bruce is intercepted by Jermaine Phillips at TAM-34,2.480,-1.200
2,13:20,1,10,TAM 34,0,0,Jeff Garcia pass incomplete deep left intended for Jerramy Stevens,1.200,0.660
2,13:14,2,10,TAM 34,0,0,Jeff Garcia pass complete short left to Alex Smith for 15 yards (tackle by Corey Chavous),0.660,2.190
2,12:37,1,10,TAM 49,0,0,Michael Clayton right end for -3 yards (tackle by Will Witherspoon),2.190,1.240
2,11:53,2,13,TAM 46,0,0,Jeff Garcia pass complete short right to Alex Smith for 1 yard (tackle by Leonard Little),1.240,0.700
2,11:53,3,12,TAM 47,0,0,"Penalty on TAM: Illegal Substitution, 5 yards (no play)",0.700,0.040
2,10:57,3,17,TAM 42,0,0,Jeff Garcia pass complete short left to Cadillac Williams for 3 yards (tackle by James Hall),0.040,-0.390
2,10:17,4,14,TAM 45,0,0,Josh Bidwell punts 44 yards,-0.390,0.370
2,10:05,1,10,STL 11,0,0,"Marc Bulger pass complete deep middle to Isaac Bruce for 17 yards (tackle by Jermaine Phillips). Isaac Bruce fumbles (forced by Jermaine Phillips), recovered by Phillip Buchanon at STL-30 and returned for 30 yards. Penalty on Kevin Carter: Defensive Offside, 5 yards (no play)",-0.370,0.170
2,9:50,1,5,STL 16,0,0,Steven Jackson up the middle for 2 yards (tackle by Kevin Carter and Derrick Brooks),0.170,0.000
2,9:13,2,3,STL 18,0,0,Steven Jackson left tackle for no gain (tackle by Chris Hovan),0.000,-0.600
2,8:36,3,3,STL 18,0,0,Marc Bulger pass complete short middle to Torry Holt for 6 yards (tackle by Jermaine Phillips),-0.600,0.540
2,8:01,1,10,STL 24,0,0,Steven Jackson left end for 8 yards (tackle by Tanard Jackson),0.540,1.080
2,7:19,2,2,STL 32,0,0,Steven Jackson up the middle for 4 yards (tackle by Derrick Brooks),1.080,1.330
2,6:43,1,10,STL 36,0,0,Marc Bulger pass complete short middle to Torry Holt for 15 yards (tackle by Phillip Buchanon),1.330,2.320
2,6:07,1,10,TAM 49,0,0,Brian Leonard up the middle for 4 yards (tackle by Greg Peterson),2.320,2.320
2,5:30,2,6,TAM 45,0,0,Brian Leonard up the middle for 9 yards (tackle by Ryan Nece and Cato June),2.320,3.180
2,4:56,1,10,TAM 36,0,0,Steven Jackson up the middle for 6 yards (tackle by Barrett Ruud),3.180,3.450
2,4:23,2,4,TAM 30,0,0,Steven Jackson up the middle for 3 yards (tackle by Kevin Carter and Jermaine Phillips),3.450,3.140
2,3:44,3,1,TAM 27,0,0,Steven Jackson up the middle for no gain (tackle by Greg Spires and Barrett Ruud),3.140,1.820
2,3:21,,,,0,0,Timeout #1 by St. Louis Rams,0.000,1.820
2,3:21,4,1,TAM 27,0,0,Brian Leonard up the middle for 2 yards (tackle by Barrett Ruud),1.820,3.910
2,2:50,1,10,TAM 25,0,0,Steven Jackson left guard for 1 yard (tackle by Kevin Carter and Cato June),3.910,3.500
2,2:14,2,9,TAM 24,0,0,Marc Bulger pass incomplete deep right intended for Drew Bennett,3.500,2.810
2,2:08,3,9,TAM 24,0,0,Marc Bulger pass incomplete deep right intended for Torry Holt,2.810,1.870
