Quarter,Time,Tm,Detail,STL,TAM
2.0,0:03,Buccaneers,Matt Bryant 27 yard field goal,0,3
3.0,10:41,Buccaneers,Cadillac Williams 7 yard rush (Matt Bryant kick),0,10
4.0,11:31,Rams,Jeff Wilkins 25 yard field goal,3,10
,7:56,Buccaneers,Earnest Graham 8 yard rush (Matt Bryant kick),3,17
,5:00,Buccaneers,Earnest Graham 28 yard rush (Matt Bryant kick),3,24
