Unnamed: 0,STL,TAM
First Downs,18,22
Rush-Yds-TDs,34-136-0,32-182-3
Cmp-Att-Yd-TD-INT,17-26-116-0-3,14-22-151-0-0
Sacked-Yards,1-7,1-11
Net Pass Yards,109,140
Total Yards,245,322
Fumbles-Lost,1-0,2-1
Turnovers,3,1
Penalties-Yards,3-25,5-40
Third Down Conv.,4-12,3-8
Fourth Down Conv.,1-1,0-0
Time of Possession,32:46,27:14
