Unnamed: 0,CHI,SEA
First Downs,19,22
Rush-Yds-TDs,28-87-1,28-124-2
Cmp-Att-Yd-TD-INT,19-34-149-0-2,19-27-215-1-1
Sacked-Yards,3-25,2-4
Net Pass Yards,124,211
Total Yards,211,335
Fumbles-Lost,2-0,1-1
Turnovers,2,2
Penalties-Yards,6-64,5-45
Third Down Conv.,6-16,5-10
Fourth Down Conv.,2-2,1-1
Time of Possession,34:11,25:49
