Quarter,Time,Tm,Detail,CHI,SEA
1.0,3:08,Bears,Paul Edinger 50 yard field goal,3,0
2.0,12:41,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),3,7
,8:47,Seahawks,Bobby Engram 25 yard pass from Matt Hasselbeck (Josh Brown kick),3,14
,1:49,Bears,Paul Edinger 35 yard field goal,6,14
3.0,5:37,Seahawks,Josh Brown 45 yard field goal,6,17
4.0,13:28,Bears,Paul Edinger 40 yard field goal,9,17
,4:12,Bears,Stanley Pritchett 1 yard rush (Chris Chandler run),17,17
,0:58,Seahawks,Shaun Alexander 25 yard rush (Josh Brown kick),17,24
