Quarter,Time,Down,ToGo,Location,CHI,SEA,Detail,EPB,EPA
2,9:53,1,10,CHI 20,3,7,Shaun Alexander left guard for no gain (tackle by Bryan Robinson),4.240,3.690
2,9:13,2,10,CHI 20,3,7,Matt Hasselbeck pass incomplete intended for Jerramy Stevens (defended by Phillip Daniels),3.690,3.010
2,9:08,3,10,CHI 20,3,7,"Penalty on Darrell Jackson: False Start, 5 yards (no play)",3.010,2.340
2,8:54,3,15,CHI 25,3,13,"Matt Hasselbeck pass complete to Bobby Engram for 25 yards, touchdown",2.340,7.000
2,8:54,,,CHI 25,3,14,Josh Brown kicks extra point good,0.000,0.000
2,8:54,,,SEA 30,3,14,"Josh Brown kicks off 61 yards, returned by Jerry Azumah for 14 yards (tackle by Alex Bannister)",0.000,0.480
2,8:42,1,10,CHI 23,3,14,Adrian Peterson middle for 5 yards (tackle by Antonio Cochran),0.480,0.610
2,8:05,2,5,CHI 28,3,14,Adrian Peterson middle for 10 yards (tackle by Shawn Springs and Marcus Trufant),0.610,1.470
2,7:24,1,10,CHI 38,3,14,Adrian Peterson left tackle for 9 yards,1.470,2.140
2,6:40,2,1,CHI 47,3,14,Adrian Peterson middle for 4 yards (tackle by Cedric Woodard),2.140,2.320
2,6:01,1,10,SEA 49,3,14,Chris Chandler pass complete to Dez White for 6 yards (tackle by Marcus Trufant),2.320,2.590
2,5:20,2,4,SEA 43,3,14,Chris Chandler pass complete to David Terrell for 3 yards (tackle by Shawn Springs),2.590,2.280
2,4:42,3,1,SEA 40,3,14,Adrian Peterson right guard for 10 yards (tackle by Reggie Tongue),2.280,3.580
2,4:01,1,10,SEA 30,3,14,Adrian Peterson middle for 3 yards (tackle by Antonio Cochran and Norman Hand),3.580,3.440
2,3:22,2,7,SEA 27,3,14,Chris Chandler pass incomplete intended for Dez White,3.440,2.740
2,3:16,2,7,SEA 27,,,Timeout #1 by Chicago Bears,3.440,2.740
2,3:16,3,7,SEA 27,3,14,Chris Chandler pass complete to Dez White for 8 yards (tackle by Ken Hamlin),2.740,4.310
2,2:37,1,10,SEA 19,3,14,Adrian Peterson middle for 2 yards,4.310,4.030
2,2:00,2,8,SEA 17,3,14,Chris Chandler pass incomplete intended for Dez White,4.030,3.260
2,1:55,3,8,SEA 17,3,14,Chris Chandler pass incomplete intended for Dez White (defended by Marcus Trufant),3.260,2.310
2,1:52,4,8,SEA 17,6,14,Paul Edinger 35 yard field goal good,2.310,3.000
2,1:52,,,CHI 30,6,14,"Paul Edinger kicks off 63 yards, returned by Maurice Morris for 13 yards (tackle by Cameron Worrell)",0.000,0.280
2,1:45,1,10,SEA 20,6,14,Matt Hasselbeck pass complete to Shaun Alexander for 6 yards (tackle by Brian Urlacher),0.280,0.540
2,1:38,2,4,SEA 26,6,14,Shaun Alexander middle for 1 yard (tackle by Bryan Robinson),0.540,-0.030
2,1:01,3,3,SEA 27,6,14,Matt Hasselbeck right guard for 5 yards (tackle by Phillip Daniels and Bryan Robinson),-0.030,1.070
2,0:52,3,3,SEA 27,,,Timeout #2 by Seattle Seahawks,-0.030,1.070
2,0:52,1,10,SEA 32,6,14,Matt Hasselbeck pass complete to Koren Robinson for 24 yards (tackle by Charles Tillman),1.070,2.650
2,0:31,1,10,CHI 44,6,14,Matt Hasselbeck pass complete to Mack Strong for 2 yards (tackle by Brian Urlacher),2.650,2.380
2,0:23,1,10,CHI 44,,,Timeout #3 by Seattle Seahawks,2.650,2.380
2,0:23,2,8,CHI 42,6,14,Matt Hasselbeck pass complete to Koren Robinson for 32 yards (tackle by Jerry Azumah),2.380,4.910
2,0:15,1,10,CHI 10,6,14,Matt Hasselbeck pass incomplete intended for Bobby Engram is intercepted by Mike Brown at CHI-0,4.910,-0.280
2,0:10,1,10,CHI 20,6,14,Chris Chandler kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,CHI,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,6,14,"Josh Brown kicks off 52 yards, returned by Jerry Azumah for 24 yards (tackle by Willie Williams)",0.000,1.730
3,14:55,1,10,CHI 42,6,14,Chris Chandler pass incomplete intended for David Terrell (defended by Marcus Trufant),1.730,1.190
3,14:48,2,10,CHI 42,6,14,Adrian Peterson left end for -1 yards (tackle by Marcus Trufant),1.190,0.370
3,14:17,3,11,CHI 41,6,14,Chris Chandler pass complete to Desmond Clark for 6 yards (tackle by Reggie Tongue and Willie Williams),0.370,-0.260
3,13:34,4,5,CHI 47,6,14,"Brad Maynard punts 42 yards, fair catch by Bobby Engram",-0.260,0.370
3,13:27,1,10,SEA 11,6,14,Matt Hasselbeck pass incomplete intended for Koren Robinson,-0.370,-0.780
3,13:24,2,10,SEA 11,6,14,Matt Hasselbeck pass complete to Shaun Alexander for 6 yards (tackle by Lance Briggs),-0.780,-0.720
3,12:40,3,4,SEA 17,6,14,Matt Hasselbeck pass complete to Bobby Engram for 6 yards (tackle by Alex Brown and Lance Briggs),-0.720,0.480
3,12:03,1,10,SEA 23,6,14,Shaun Alexander right end for 2 yards (tackle by Joe Odom and Alfonso Boone),0.480,0.200
3,11:29,2,8,SEA 25,6,14,Shaun Alexander left end for no gain (tackle by Lance Briggs),0.200,-0.490
3,10:49,3,8,SEA 25,6,14,Matt Hasselbeck pass incomplete intended for Koren Robinson,-0.490,-1.700
3,10:45,4,8,SEA 25,6,14,"Tom Rouen punts 52 yards, muffed catch by R.W. McQuarters, recovered by Cameron Worrell and returned for no gain",-1.700,0.380
3,10:31,1,10,CHI 9,6,14,Adrian Peterson middle for 1 yard,-0.380,-0.710
3,9:57,2,9,CHI 10,6,14,Adrian Peterson left end for -4 yards,-0.710,-1.770
3,9:16,3,13,CHI 6,6,14,Chris Chandler pass incomplete intended for Justin Gage,-1.770,-2.490
3,9:10,4,13,CHI 6,6,14,Brad Maynard punts 39 yards,-2.490,-2.590
3,8:58,1,10,CHI 45,6,14,Matt Hasselbeck pass incomplete intended for Bobby Engram,2.590,2.040
3,8:54,2,10,CHI 45,6,14,Shaun Alexander right end for 4 yards (tackle by Lance Briggs and R.W. McQuarters),2.040,1.880
3,8:11,3,6,CHI 41,6,14,Matt Hasselbeck pass complete to Bobby Engram for 12 yards (tackle by Brian Urlacher),1.880,3.640
3,7:28,1,10,CHI 29,6,14,Matt Hasselbeck right guard for 1 yard (tackle by Alfonso Boone),3.640,3.240
3,6:51,2,9,CHI 28,6,14,Shaun Alexander left tackle for 4 yards (tackle by Phillip Daniels and Charles Tillman),3.240,3.070
3,6:11,3,5,CHI 24,6,14,Matt Hasselbeck sacked by Michael Green and Bryan Robinson for -3 yards,3.070,1.670
3,5:42,4,8,CHI 27,6,17,Josh Brown 45 yard field goal good,1.670,3.000
3,5:42,,,SEA 30,6,17,"Josh Brown kicks off 63 yards, returned by Jerry Azumah for 19 yards (tackle by D.D. Lewis)",0.000,0.670
3,5:31,1,10,CHI 26,6,17,Chris Chandler pass incomplete intended for Dez White,0.670,0.130
3,5:28,2,10,CHI 26,6,17,Chris Chandler pass complete to Desmond Clark for 7 yards,0.130,0.370
3,4:51,3,3,CHI 33,6,17,Chris Chandler pass complete to Justin Gage for 5 yards (tackle by Ken Hamlin),0.370,1.470
3,4:09,1,10,CHI 38,6,17,Adrian Peterson left end for 1 yard,1.470,1.060
3,3:28,2,9,CHI 39,6,17,Chris Chandler pass incomplete intended for Justin Gage (defended by Reggie Tongue),1.060,0.370
3,3:23,3,9,CHI 39,6,17,Chris Chandler pass complete to Desmond Clark for 6 yards (tackle by Willie Williams),0.370,-0.390
3,2:58,4,3,CHI 45,6,17,Brock Forsey right end for 5 yards (tackle by Heath Evans and Orlando Huff),-0.390,2.260
3,1:59,1,10,,6,17,Adrian Peterson right tackle for 3 yards (tackle by Chad Brown and Anthony Simmons),2.260,2.120
3,1:19,2,7,SEA 47,6,17,Chris Chandler pass complete to David Terrell for 8 yards (tackle by Anthony Simmons and Reggie Tongue),2.120,2.980
3,0:38,1,10,SEA 39,6,17,Chris Chandler pass complete to David Terrell for 10 yards (tackle by Ken Hamlin),2.980,3.640
Quarter,Time,Down,ToGo,Location,CHI,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 29,6,17,Adrian Peterson right tackle for 5 yards,3.640,3.780
4,14:21,2,5,SEA 24,6,17,Chris Chandler pass incomplete intended for Stanley Pritchett,3.780,3.070
4,14:18,3,5,SEA 24,6,17,Chris Chandler pass complete to Dez White for 2 yards (tackle by Reggie Tongue),3.070,2.090
4,13:34,4,3,SEA 22,9,17,Paul Edinger 40 yard field goal good,2.090,3.000
4,13:34,,,CHI 30,9,17,"Paul Edinger kicks off 67 yards, returned by Maurice Morris for 26 yards (tackle by Bryan Knight)",0.000,0.870
4,13:23,1,10,SEA 29,9,17,Shaun Alexander left guard for 1 yard (tackle by Alfonso Boone),0.870,0.460
4,12:43,2,9,SEA 30,9,17,Matt Hasselbeck pass complete to Darrell Jackson for 21 yards (tackle by R.W. McQuarters),0.460,2.320
4,11:52,1,10,CHI 49,9,17,Matt Hasselbeck pass complete to Bobby Engram for 6 yards (tackle by Michael Green),2.320,2.590
4,11:27,2,4,CHI 43,9,17,"Matt Hasselbeck pass complete to Koren Robinson for 9 yards (tackle by Charles Tillman). Koren Robinson fumbles (forced by Charles Tillman), recovered by Bobby Gray at CHI-31 and returned for 2 yards (tackle by Bobby Engram)",2.590,-1.140
4,11:18,1,10,CHI 33,9,17,Chris Chandler pass complete to Dustin Lyman for 7 yards,1.140,1.540
4,10:33,2,3,CHI 40,9,17,Rabih Abdullah right guard for 4 yards (tackle by Chad Brown and Ken Hamlin),1.540,1.860
4,9:47,1,10,CHI 44,9,17,Chris Chandler pass complete to Dez White for 3 yards (tackle by Marcus Trufant),1.860,1.720
4,9:10,2,7,CHI 47,9,17,Chris Chandler pass incomplete intended for David Terrell,1.720,1.030
4,9:07,3,7,CHI 47,9,17,Chris Chandler pass complete to Bobby Wade for 11 yards (tackle by Reggie Tongue),1.030,2.790
4,8:27,1,10,SEA 42,9,17,Chris Chandler pass incomplete intended for Stanley Pritchett,2.790,2.240
4,8:24,2,10,SEA 42,9,17,Rabih Abdullah middle for -1 yards (tackle by Chike Okeafor),2.240,1.420
4,7:40,3,11,SEA 43,9,17,Chris Chandler pass complete to Justin Gage for 21 yards (tackle by Shawn Springs),1.420,4.110
4,7:00,1,10,SEA 22,9,17,Stanley Pritchett middle for 8 yards,4.110,4.850
4,6:19,2,2,SEA 14,9,17,Rabih Abdullah left end for 1 yard (tackle by Ken Hamlin and Marcus Trufant),4.850,4.390
4,5:34,3,1,SEA 13,9,17,Stanley Pritchett right tackle for no gain (tackle by Cedric Woodard and Anthony Simmons),4.390,2.720
4,5:04,4,1,SEA 13,9,17,Chris Chandler middle for 2 yards (tackle by Chad Brown and Antonio Cochran),2.720,4.840
4,4:20,1,10,SEA 11,9,17,"Chris Chandler pass incomplete intended for David Terrell. Penalty on Shawn Springs: Defensive Pass Interference, 10 yards (no play)",4.840,6.970
4,4:15,1,1,SEA 1,15,17,"Stanley Pritchett left guard for 1 yard, touchdown",6.970,7.000
4,4:12,1,1,SEA 1,,,Timeout #1 by Seattle Seahawks,6.970,6.970
4,4:12,1,,SEA 1,17,17,"Two Point Attempt: Chris Chandler left guard, conversion succeeds",1.000,1.000
4,4:12,,,CHI 30,17,17,"Paul Edinger kicks off 63 yards, returned by Maurice Morris for 21 yards (tackle by Joe Tafoya)",0.000,0.810
4,4:06,1,10,SEA 28,17,17,Matt Hasselbeck middle for 7 yards (tackle by Alex Brown and Lance Briggs),0.810,1.210
4,3:32,2,3,SEA 35,17,17,Matt Hasselbeck pass complete to Itula Mili for 7 yards (tackle by Joe Odom and Bobby Gray),1.210,1.730
4,3:01,1,10,SEA 42,17,17,Shaun Alexander left end for 9 yards (tackle by Bobby Gray),1.730,2.400
4,2:29,2,1,CHI 49,17,17,Mack Strong middle for 5 yards (tackle by Mike Brown and Joe Odom),2.400,2.650
4,2:00,1,10,CHI 44,17,17,Shaun Alexander left end for 14 yards (tackle by Bobby Gray),2.650,3.580
4,1:19,1,10,CHI 30,17,17,Matt Hasselbeck pass incomplete intended for Darrell Jackson,3.580,3.030
4,1:14,2,10,CHI 30,17,17,"Shaun Alexander left end for 2 yards (tackle by Joe Odom). Penalty on Walter Jones: Illegal Use of Hands, 10 yards (no play)",3.030,1.680
4,1:08,2,20,CHI 40,17,17,"Matt Hasselbeck pass incomplete intended for Koren Robinson. Penalty on Charles Tillman: Defensive Pass Interference, 15 yards (no play)",1.680,3.910
4,1:04,1,10,CHI 25,17,23,"Shaun Alexander left end for 25 yards, touchdown",3.910,7.000
4,1:04,,,CHI 25,17,24,Josh Brown kicks extra point good,0.000,0.000
4,1:04,,,SEA 30,17,24,"Josh Brown kicks off 65 yards, returned by Jerry Azumah for 21 yards (tackle by Orlando Huff)",0.000,0.670
4,0:52,1,10,CHI 26,17,24,Chris Chandler pass incomplete intended for Dez White,0.670,0.130
4,0:48,2,10,CHI 26,17,24,Chris Chandler pass incomplete intended for Justin Gage,0.130,-0.560
4,0:44,3,10,CHI 26,17,24,Chris Chandler pass incomplete intended for Dez White is intercepted by Marcus Trufant at CHI-39 and returned for 6 yards,-0.560,-3.380
4,0:37,1,10,CHI 33,17,24,Matt Hasselbeck kneels for -1 yards,3.380,2.700
4,0:32,1,10,CHI 33,,,Timeout #1 by Chicago Bears,3.380,2.700
4,0:32,2,11,CHI 34,17,24,Shaun Alexander middle for -3 yards (tackle by Bobby Gray),2.700,1.620
4,0:28,2,11,CHI 34,,,Timeout #2 by Chicago Bears,2.700,1.620
4,0:28,3,14,CHI 37,17,24,Shaun Alexander right end for 10 yards (tackle by Mike Brown and Joe Odom),1.620,1.750
4,0:20,3,14,CHI 37,,,Timeout #3 by Chicago Bears,1.620,1.750
4,0:20,4,4,CHI 27,17,24,Shaun Alexander left end for 5 yards (tackle by Ian Scott),1.750,3.450
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
