Unnamed: 0,NWE,CLE
First Downs,19,22
Rush-Yds-TDs,20-68-0,44-230-4
Cmp-Att-Yd-TD-INT,19-38-224-2-1,14-19-174-0-0
Sacked-Yards,1-9,0-0
Net Pass Yards,215,174
Total Yards,283,404
Fumbles-Lost,2-2,1-1
Turnovers,3,1
Penalties-Yards,3-20,4-28
Third Down Conv.,3-11,7-13
Fourth Down Conv.,2-2,1-1
Time of Possession,21:52,38:08
