Unnamed: 0,WAS,CHI
First Downs,14,20
Rush-Yds-TDs,28-128-1,37-237-0
Cmp-Att-Yd-TD-INT,12-22-99-0-0,14-27-190-1-1
Sacked-Yards,3-13,5-36
Net Pass Yards,86,154
Total Yards,214,391
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,7-36,4-42
Third Down Conv.,2-11,5-13
Fourth Down Conv.,0-0,1-4
Time of Possession,27:48,32:12
