Quarter,Time,Tm,Detail,WAS,CHI
2.0,0:46,Commanders,Joey Slye 38 yard field goal,3,0
3.0,7:16,Bears,Dante Pettis 40 yard pass from Justin Fields (Cairo Santos kick),3,7
4.0,14:51,Commanders,Joey Slye 28 yard field goal,6,7
,7:21,Commanders,Brian Robinson Jr. 1 yard rush (pass failed),12,7
