Quarter,Time,Tm,Detail,ATL,CLE
2.0,14:49,Falcons,Matt Bryant 24 yard field goal,3,0
,12:19,Browns,Peyton Hillis 19 yard pass from Seneca Wallace (Phil Dawson kick),3,7
,5:00,Falcons,Matt Bryant 30 yard field goal,6,7
3.0,9:57,Browns,Phil Dawson 19 yard field goal,6,10
,7:57,Falcons,Roddy White 45 yard pass from Matt Ryan (Matt Bryant kick),13,10
4.0,4:01,Falcons,Kroy Biermann 31 yard interception return (Matt Bryant kick),20,10
