Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYG 25,0,0,Rashad Jennings left guard for 6 yards (tackle by Rafael Bush and Tavon Wilson),0.610,0.870
1,14:32,2,4,NYG 31,0,0,Rashad Jennings left guard for 6 yards (tackle by A'Shawn Robinson),0.870,1.400
1,14:00,1,10,NYG 37,0,0,Eli Manning pass complete short right to Odell Beckham for 4 yards (tackle by Glover Quin),1.400,1.400
1,13:22,2,6,NYG 41,0,0,Rashad Jennings right guard for 4 yards (tackle by Tyrunn Walker),1.400,1.220
1,12:42,3,2,NYG 45,0,0,Eli Manning pass complete short right to Will Tye for 4 yards (tackle by Tahir Whitehead),1.220,2.190
1,12:09,1,10,NYG 49,0,0,Rashad Jennings left guard for no gain (tackle by Tahir Whitehead and Asa Jackson),2.190,1.650
1,11:34,2,10,NYG 49,0,0,Eli Manning pass complete deep right to Victor Cruz for 29 yards (tackle by Tavon Wilson),1.650,4.110
1,11:07,1,10,DET 22,0,0,"Paul Perkins right end for 6 yards (tackle by Nevin Lawson). Penalty on Will Tye: Offensive Holding (Offsetting), Penalty on Tavon Wilson: Face Mask (15 Yards) (Offsetting) (no play)",4.110,4.110
1,10:47,1,10,DET 22,0,0,Paul Perkins middle for 5 yards (tackle by Khyri Thornton),4.110,4.290
1,10:18,2,5,DET 17,0,0,Paul Perkins middle for 11 yards (tackle by Tavon Wilson and Tahir Whitehead),4.290,5.830
1,9:30,1,6,DET 6,0,6,"Eli Manning pass complete short right to Sterling Shepard for 6 yards, touchdown",5.830,7.000
1,9:23,,,DET 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,9:23,,,NYG 35,0,7,"Robbie Gould kicks off 65 yards, returned by Andre Roberts for 20 yards (tackle by Owamagbe Odighizuwa)",0.000,-0.280
1,9:19,1,10,DET 20,0,7,Dwayne Washington right tackle for 12 yards (tackle by Landon Collins and Kelvin Sheppard),0.280,1.070
1,8:44,1,10,DET 32,0,7,Dwayne Washington left tackle for 4 yards (tackle by Damon Harrison and Johnathan Hankins),1.070,1.070
1,8:06,2,6,DET 36,0,7,Matthew Stafford pass complete short right to Anquan Boldin for -1 yards (tackle by Eli Apple and Janoris Jenkins),1.070,0.230
1,7:19,3,7,DET 35,0,7,"Penalty on Matthew Stafford: Delay of Game, 5 yards (no play)",0.230,-0.430
1,6:54,3,12,DET 30,0,7,Matthew Stafford pass incomplete,-0.430,-1.370
1,6:45,4,12,DET 30,0,7,Sam Martin punts 63 yards,-1.370,0.380
1,6:33,1,10,NYG 7,0,7,Paul Perkins right guard for 6 yards (tackle by Tahir Whitehead and Kerry Hyder),-0.380,-0.340
1,6:01,2,4,NYG 13,0,7,Paul Perkins right guard for no gain (tackle by Rafael Bush),-0.340,-0.720
1,5:23,3,4,NYG 13,0,7,Eli Manning pass complete short left to Shane Vereen for 3 yards (tackle by Tahir Whitehead),-0.720,-2.390
1,4:40,4,1,NYG 16,0,7,"Brad Wing punts 43 yards, returned by Andre Roberts for 5 yards (tackle by Dwayne Harris). Penalty on Johnson Bademosi: Offensive Holding, 10 yards",-2.390,-1.000
1,4:29,1,10,DET 31,0,7,Dwayne Washington right end for 1 yard (tackle by Olivier Vernon and Damon Harrison),1.000,0.600
1,3:49,2,9,DET 32,0,7,Matthew Stafford pass complete short middle to Eric Ebron for 21 yards (tackle by Andrew Adams),0.600,2.460
1,3:06,1,10,NYG 47,0,7,Dwayne Washington right end for 1 yard (tackle by Johnathan Hankins),2.460,2.050
1,2:23,2,9,NYG 46,0,7,Dwayne Washington left guard for no gain (tackle by Damon Harrison),2.050,1.350
1,1:40,3,9,NYG 46,0,7,"Matthew Stafford pass incomplete deep left intended for Golden Tate. Penalty on Eli Apple: Defensive Holding, 5 yards (no play)",1.350,2.850
1,1:31,1,10,NYG 41,0,7,Dwayne Washington right tackle for 2 yards (tackle by Devon Kennard and Eli Apple),2.850,2.580
1,0:53,2,8,NYG 39,0,7,Matthew Stafford pass complete short left to Golden Tate for 4 yards (tackle by Andrew Adams and Eli Apple),2.580,2.410
1,0:11,3,4,NYG 35,0,7,Matthew Stafford pass complete short right to Eric Ebron for 5 yards,2.410,3.580
,,,,,,,"NYG challenged the pass completion ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA
