Quarter,Time,Tm,Detail,DET,NYG
1.0,9:23,Giants,Sterling Shepard 6 yard pass from Eli Manning (Robbie Gould kick),0,7
2.0,14:02,Lions,Matt Prater 48 yard field goal,3,7
,5:00,Giants,Robbie Gould 47 yard field goal,3,10
3.0,7:40,Lions,Matt Prater 33 yard field goal,6,10
4.0,5:47,Giants,Odell Beckham Jr. 4 yard pass from Eli Manning (Robbie Gould kick),6,17
