Unnamed: 0,DET,NYG
First Downs,16,17
Rush-Yds-TDs,19-56-0,32-114-0
Cmp-Att-Yd-TD-INT,24-39-273-0-1,20-28-201-2-0
Sacked-Yards,1-5,2-15
Net Pass Yards,268,186
Total Yards,324,300
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,2-15,5-46
Third Down Conv.,5-14,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:44,30:16
