Unnamed: 0,PIT,BAL
First Downs,16,21
Rush-Yds-TDs,38-153-1,29-132-1
Cmp-Att-Yd-TD-INT,12-26-145-1-1,23-35-289-1-0
Sacked-Yards,0-0,5-28
Net Pass Yards,145,261
Total Yards,298,393
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,5-59,9-80
Third Down Conv.,6-16,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,35:56,32:22
