Quarter,Time,Tm,Detail,PIT,BAL
1,8:14,Ravens,Willis McGahee 2 yard rush (Billy Cundiff kick),0,7
2,14:11,Steelers,Santonio Holmes 33 yard pass from Dennis Dixon (Jeff Reed kick),7,7
,1:45,Ravens,Derrick Mason 10 yard pass from Joe Flacco (Billy Cundiff kick),7,14
3,9:09,Steelers,Jeff Reed 44 yard field goal,10,14
4,6:24,Steelers,Dennis Dixon 24 yard rush (Jeff Reed kick),17,14
,1:51,Ravens,Billy Cundiff 24 yard field goal,17,17
OT,6:42,Ravens,Billy Cundiff 29 yard field goal,17,20
