Quarter,Time,Tm,Detail,KAN,IND
1.0,8:11,Chiefs,Dwayne Bowe 6 yard pass from Alex Smith (Ryan Succop kick),7,0
,4:34,Colts,T.Y. Hilton 10 yard pass from Andrew Luck (Adam Vinatieri kick),7,7
,0:53,Chiefs,Ryan Succop 19 yard field goal,10,7
2.0,14:39,Chiefs,Donnie Avery 79 yard pass from Alex Smith (Ryan Succop kick),17,7
,13:05,Chiefs,Anthony Sherman 5 yard pass from Alex Smith (Ryan Succop kick),24,7
,9:14,Colts,Adam Vinatieri 37 yard field goal,24,10
,1:51,Chiefs,Knile Davis 4 yard rush (Ryan Succop kick),31,10
3.0,13:39,Chiefs,Knile Davis 10 yard pass from Alex Smith (Ryan Succop kick),38,10
,11:47,Colts,Donald Brown 10 yard rush (Adam Vinatieri kick),38,17
,7:32,Colts,Donald Brown 3 yard pass from Andrew Luck (Adam Vinatieri kick),38,24
,4:12,Chiefs,Ryan Succop 42 yard field goal,41,24
,2:31,Colts,Coby Fleener 12 yard pass from Andrew Luck (Adam Vinatieri kick),41,31
4.0,10:38,Colts,Andrew Luck 5 yard offensive fumble return (Adam Vinatieri kick),41,38
,5:36,Chiefs,Ryan Succop 43 yard field goal,44,38
,4:21,Colts,T.Y. Hilton 64 yard pass from Andrew Luck (Adam Vinatieri kick),44,45
