Quarter,Time,Tm,Detail,TEN,HOU
1.0,9:05,Titans,Ryan Succop 35 yard field goal,3,0
2.0,14:04,Texans,DeAndre Hopkins 21 yard pass from Brian Hoyer (Nick Novak kick),3,7
,11:34,Texans,Nick Novak 38 yard field goal,3,10
3.0,5:54,Titans,Ryan Succop 44 yard field goal,6,10
,3:38,Texans,Nate Washington 42 yard pass from Brian Hoyer (Nick Novak kick),6,17
4.0,12:33,Texans,Nick Novak 24 yard field goal,6,20
