Quarter,Time,Down,ToGo,Location,LVR,DAL,Detail,EPB,EPA
1,5:23,4,12,DAL 5,7,6,"Bryan Anger punts 55 yards, fair catch by Hunter Renfrow at LV-40",,
1,5:17,1,10,LVR 40,7,6,"Penalty on Micah Parsons: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,5:17,1,5,LVR 45,7,6,Derek Carr pass incomplete deep right intended for Hunter Renfrow,,
1,5:11,2,5,LVR 45,7,6,"Josh Jacobs left tackle for no gain (tackle by Trysten Hill and Leighton Vander Esch). Penalty on Andre James: Offensive Holding, 10 yards (accepted) (no play)",,
1,4:48,2,15,LVR 35,7,6,Derek Carr pass complete short right to Hunter Renfrow for 5 yards (tackle by Anthony Brown),,
1,4:03,3,10,LVR 40,7,6,"Derek Carr pass incomplete short right intended for Bryan Edwards. Penalty on Anthony Brown: Defensive Pass Interference, 11 yards (accepted) (no play)",,
1,3:57,1,10,DAL 49,7,6,Hunter Renfrow right end for 2 yards (tackle by Chauncey Golston),,
1,3:15,2,8,DAL 47,7,6,Derek Carr pass incomplete deep right intended for Darren Waller,,
1,3:09,3,8,DAL 47,7,6,Derek Carr pass complete short middle to Bryan Edwards for 12 yards (tackle by Anthony Brown),,
1,2:29,1,10,DAL 35,7,6,Derek Carr pass incomplete short right,,
1,2:24,2,10,DAL 35,7,6,Josh Jacobs left tackle for 4 yards (tackle by Trevon Diggs and Dorance Armstrong),,
1,1:42,3,6,DAL 31,7,6,"Derek Carr pass incomplete deep right intended for DeSean Jackson. Penalty on Anthony Brown: Defensive Pass Interference, 30 yards (accepted) (no play)",,
1,1:36,1,1,DAL 1,13,6,"Josh Jacobs left tackle for 1 yard, touchdown",,
1,1:33,,,DAL 15,14,6,Daniel Carlson kicks extra point good,,
1,1:33,,,LVR 35,14,6,"Daniel Carlson kicks off 67 yards, returned by Tony Pollard for 18 yards (tackle by Dallin Leavitt and Roderic Teamer)",,
1,1:28,1,10,DAL 16,14,6,Ezekiel Elliott right tackle for 1 yard (tackle by Brandon Facyson),,
1,0:57,2,9,DAL 17,14,6,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Brandon Facyson: Defensive Pass Interference, 8 yards (accepted) (no play)",,
1,0:53,1,10,DAL 25,14,6,"Tony Pollard left tackle for no gain (tackle by Brandon Facyson). Penalty on Tyler Biadasz: Offensive Holding, 10 yards (accepted) (no play)",,
1,0:30,1,20,DAL 15,14,6,Dak Prescott pass complete short left to Dalton Schultz for 10 yards (tackle by Cory Littleton),,
Quarter,Time,Down,ToGo,Location,LVR,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,DAL 25,14,6,Dak Prescott pass incomplete short left intended for Noah Brown,,
2,14:55,3,10,DAL 25,14,6,Dak Prescott pass incomplete short middle intended for Dalton Schultz,,
2,14:50,4,10,DAL 25,14,6,"Bryan Anger punts 53 yards, fair catch by Hunter Renfrow at LV-22",,
2,14:43,1,10,LVR 22,14,6,Derek Carr pass incomplete short right intended for Foster Moreau,,
2,14:35,2,10,LVR 22,14,6,Josh Jacobs up the middle for 3 yards (tackle by Chauncey Golston and Trysten Hill),,
2,13:57,3,7,LVR 25,14,6,"Derek Carr pass incomplete short middle intended for Hunter Renfrow. Penalty on Trevon Diggs: Defensive Holding, 5 yards (accepted) (no play)",,
2,13:52,1,10,LVR 30,14,6,Josh Jacobs left tackle for no gain (tackle by Justin Hamilton),,
2,13:07,2,10,LVR 30,14,6,Derek Carr pass incomplete short left intended for Darren Waller (defended by Jayron Kearse),,
2,13:02,3,10,LVR 30,14,6,"Derek Carr pass complete short left to Zay Jones for 12 yards (tackle by Malik Hooker). Penalty on Micah Parsons: Defensive Offside, 5 yards (declined)",,
2,12:47,1,10,LVR 42,14,6,Derek Carr pass complete short left to Darren Waller for 21 yards (tackle by Jayron Kearse),,
2,12:15,1,10,DAL 37,14,6,Derek Carr pass complete short right to Josh Jacobs for 17 yards (tackle by Trysten Hill),,
2,11:36,1,10,DAL 20,14,6,Josh Jacobs right tackle for 9 yards (tackle by Osa Odighizuwa),,
2,10:53,2,1,DAL 11,14,6,Kenyan Drake left tackle for 4 yards (tackle by Keanu Neal),,
2,10:13,1,7,DAL 7,14,6,Marcus Mariota right guard for 1 yard (tackle by Trysten Hill),,
2,9:37,2,6,DAL 6,14,6,Josh Jacobs up the middle for 2 yards (tackle by Dorance Armstrong),,
2,8:54,3,4,DAL 4,14,6,Derek Carr pass incomplete short right intended for Daniel Helm,,
2,8:50,4,4,DAL 4,17,6,Daniel Carlson 22 yard field goal good,,
2,8:46,,,LVR 35,17,6,"Daniel Carlson kicks off 65 yards, touchback.",,
2,8:46,1,10,DAL 25,17,6,Dak Prescott pass complete short right to Michael Gallup for 9 yards (tackle by Brandon Facyson and Cory Littleton),,
2,8:13,2,1,DAL 34,17,6,Tony Pollard left guard for 4 yards (tackle by Denzel Perryman and Quinton Jefferson),,
2,7:36,1,10,DAL 38,17,6,"Dak Prescott pass complete short right to Dalton Schultz for 4 yards (tackle by K.J. Wright and Denzel Perryman). Penalty on Denzel Perryman: Unnecessary Roughness / Defense, 15 yards (accepted)",,
2,7:13,1,10,LVR 43,17,6,Tony Pollard up the middle for 3 yards (tackle by K.J. Wright),,
2,6:41,2,7,LVR 40,17,6,Dak Prescott pass incomplete short middle intended for Dalton Schultz,,
2,6:37,3,7,LVR 40,17,6,Dak Prescott pass incomplete short middle intended for Cedrick Wilson,,
2,6:34,4,7,LVR 40,17,6,Greg Zuerlein 59 yard field goal no good,,
2,6:29,1,10,LVR 49,17,6,"Derek Carr sacked by Tarell Basham for no gain. Derek Carr fumbles (forced by Tarell Basham), recovered by John Simpson at LV-49 (tackle by Tarell Basham)",,
2,5:50,2,10,LVR 49,17,6,Kenyan Drake up the middle for 3 yards (tackle by Micah Parsons),,
2,5:04,3,7,DAL 48,17,6,"Derek Carr pass complete deep right to Zay Jones for no gain. Penalty on Alex Leatherwood: Illegal Use of Hands / Offense, 11 yards (accepted) (no play)",,
2,4:44,3,18,LVR 41,17,6,Derek Carr pass complete short middle to Hunter Renfrow for 13 yards (tackle by Chauncey Golston and Keanu Neal),,
2,3:59,4,5,DAL 46,17,6,"AJ Cole punts 32 yards, fair catch by Cedrick Wilson at DAL-14",,
2,3:52,1,10,DAL 14,17,6,Tony Pollard up the middle for 2 yards (tackle by Denzel Perryman and Solomon Thomas),,
2,3:22,2,8,DAL 16,17,6,Dak Prescott pass complete deep left to Cedrick Wilson for 51 yards (tackle by Johnathan Abram),,
2,2:41,1,10,LVR 33,17,6,Dak Prescott scrambles left end for 3 yards (tackle by Johnathan Abram),,
2,2:10,2,7,LVR 30,17,6,Tony Pollard up the middle for 8 yards (tackle by Quinton Jefferson and Trevon Moehrig),,
2,2:00,1,10,LVR 22,17,6,Tony Pollard right end for 3 yards (tackle by Nate Hobbs),,
2,1:24,2,7,LVR 19,17,6,Dak Prescott pass complete short left to Cedrick Wilson for 5 yards (tackle by Casey Hayward),,
2,0:45,3,2,LVR 14,17,6,"Dak Prescott pass complete short right to Tony Pollard for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Dak Prescott pass complete to Tony Pollard for 13 yards (tackle by Nate Hobbs)",,
2,0:29,1,1,LVR 1,17,12,"Ezekiel Elliott left guard for 1 yard, touchdown",,
2,0:25,,,LVR 15,17,13,Greg Zuerlein kicks extra point good,,
2,0:25,,,DAL 35,17,13,"Greg Zuerlein kicks off 65 yards, touchback.",,
2,0:25,1,10,LVR 25,17,13,Josh Jacobs up the middle for no gain (tackle by Micah Parsons and Chauncey Golston),,
2,0:21,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:21,2,10,LVR 25,17,13,Josh Jacobs left end for 10 yards (tackle by Malik Hooker),,
2,0:14,1,10,LVR 35,17,13,Josh Jacobs right tackle for 5 yards (tackle by Malik Hooker and Keanu Neal),,
Quarter,Time,Down,ToGo,Location,LVR,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,17,13,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,15:00,1,10,LVR 25,17,13,Josh Jacobs left tackle for 5 yards (tackle by Keanu Neal),,
3,14:26,2,5,LVR 30,17,13,Zay Jones left end for 4 yards (tackle by Damontae Kazee),,
3,13:41,3,1,LVR 34,17,13,Josh Jacobs left end for -4 yards (tackle by Keanu Neal and Jayron Kearse),,
3,13:00,4,5,LVR 30,17,13,"AJ Cole punts 53 yards out of bounds. Penalty on Roderic Teamer: Disqualification / Offense, 15 yards (offset) . Penalty on Kelvin Joseph: Disqualification / Defense, 15 yards (offset)",,
3,12:52,1,10,DAL 17,17,13,Tony Pollard right end for 12 yards (tackle by Cory Littleton),,
3,12:14,1,10,DAL 29,17,13,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,,
3,12:10,2,10,DAL 29,17,13,Dak Prescott pass incomplete short right intended for Noah Brown (defended by Johnathan Hankins),,
3,12:05,3,10,DAL 29,17,13,"Dak Prescott pass incomplete short left intended for Michael Gallup. Penalty on Casey Hayward: Defensive Holding, 5 yards (accepted) (no play)",,
3,11:59,1,10,DAL 34,17,13,Dak Prescott pass complete short left to Cedrick Wilson for 5 yards (tackle by Nate Hobbs),,
3,11:20,2,5,DAL 39,17,13,Tony Pollard left end for -5 yards (tackle by Solomon Thomas),,
3,10:45,3,10,DAL 34,17,13,Dak Prescott pass complete short right to Tony Pollard for 7 yards (tackle by Johnathan Abram and Denzel Perryman),,
3,10:08,4,3,DAL 41,17,13,"Bryan Anger punts 44 yards, fair catch by Hunter Renfrow at LV-15. Penalty on Nahshon Wright: Illegal Block Above the Waist, 10 yards (accepted)",,
3,10:01,1,10,LVR 25,17,13,Derek Carr pass complete short left to Hunter Renfrow for 31 yards (tackle by Jourdan Lewis),,
3,9:31,1,10,DAL 44,17,13,Derek Carr pass complete short left to Foster Moreau for 3 yards (tackle by Jayron Kearse),,
3,9:03,2,7,DAL 41,17,13,"Derek Carr pass complete short middle to Hunter Renfrow for 11 yards (tackle by Jayron Kearse). Penalty on Micah Parsons: Roughing the Passer, 15 yards (accepted)",,
3,8:40,1,10,DAL 15,17,13,Josh Jacobs up the middle for 6 yards (tackle by Micah Parsons and Keanu Neal),,
3,8:02,2,4,DAL 9,17,13,Josh Jacobs right guard for 6 yards (tackle by Leighton Vander Esch and Jayron Kearse),,
3,7:17,1,3,DAL 3,23,13,"Marcus Mariota right guard for 3 yards, touchdown",,
3,7:13,,,DAL 15,24,13,Daniel Carlson kicks extra point good,,
3,7:13,,,LVR 35,24,19,"Daniel Carlson kicks off 65 yards, returned by Tony Pollard for 100 yards, touchdown",,
3,7:00,,,LVR 15,24,19,"Greg Zuerlein kicks extra point good. Penalty on Clelin Ferrell: Leverage, 1 yard (accepted) (no play)",,
3,7:00,1,1,LVR 2,24,19,"Two Point Attempt: Cedrick Wilson rushes, conversion fails.",,
3,7:00,,,DAL 35,24,19,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,7:00,1,10,LVR 25,24,19,Derek Carr pass incomplete short right intended for Josh Jacobs,,
3,6:54,2,10,LVR 25,24,19,Derek Carr pass complete short left to Zay Jones for -1 yards (tackle by Jayron Kearse),,
3,6:22,3,11,LVR 24,24,19,Derek Carr scrambles right end for 22 yards (tackle by Damontae Kazee),,
3,5:46,,,,,,Timeout #1 by Dallas Cowboys,,
3,5:46,1,10,LVR 46,24,19,Kenyan Drake up the middle for 2 yards (tackle by Leighton Vander Esch),,
3,5:07,2,8,LVR 48,24,19,Derek Carr pass incomplete short right intended for DeSean Jackson,,
3,5:03,3,8,LVR 48,24,19,"Derek Carr pass incomplete deep right intended for DeSean Jackson. Penalty on Anthony Brown: Defensive Pass Interference, 17 yards (accepted) (no play)",,
3,4:57,1,10,DAL 35,24,19,Derek Carr pass incomplete deep middle intended for Foster Moreau,,
3,4:53,2,10,DAL 35,24,19,Kenyan Drake up the middle for 4 yards (tackle by Keanu Neal and Jayron Kearse),,
3,4:14,3,6,DAL 31,24,19,Derek Carr pass complete short left to Hunter Renfrow for 4 yards (tackle by Jourdan Lewis),,
3,3:32,4,2,DAL 27,27,19,Daniel Carlson 46 yard field goal good,,
3,3:28,,,LVR 35,27,19,"Daniel Carlson kicks off 65 yards, touchback.",,
3,3:28,1,10,DAL 25,27,19,Dak Prescott pass complete short right to Michael Gallup for 7 yards (tackle by Cory Littleton and Brandon Facyson),,
3,3:00,2,3,DAL 32,27,19,Ezekiel Elliott right tackle for 1 yard (tackle by Johnathan Hankins and Maxx Crosby),,
3,2:26,3,2,DAL 33,27,19,Dak Prescott pass incomplete short left intended for Cedrick Wilson,,
3,2:20,4,2,DAL 33,27,19,"Bryan Anger punts 58 yards, fair catch by Hunter Renfrow at LV-9",,
3,2:12,1,10,LVR 9,27,19,Derek Carr pass complete short left to Zay Jones for 35 yards (tackle by Damontae Kazee),,
3,1:30,1,10,LVR 44,27,19,Kenyan Drake up the middle for 4 yards (tackle by Jayron Kearse),,
3,0:51,2,6,LVR 48,27,19,Derek Carr pass complete short middle to Kenyan Drake for 10 yards (tackle by Jayron Kearse),,
3,0:07,1,10,DAL 42,27,19,Derek Carr pass incomplete deep right intended for Zay Jones,,
3,0:02,,,,,,Timeout #1 by Las Vegas Raiders,,
3,0:02,2,10,DAL 42,27,19,Derek Carr pass complete short left to Kenyan Drake for -5 yards (tackle by Keanu Neal),,
Quarter,Time,Down,ToGo,Location,LVR,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,15,DAL 47,27,19,Derek Carr pass incomplete short left intended for Foster Moreau,,
4,14:55,4,15,DAL 47,27,19,"AJ Cole punts 36 yards, fair catch by Cedrick Wilson at DAL-11",,
4,14:48,1,10,DAL 11,27,19,Dak Prescott pass complete short right to Noah Brown for 15 yards (tackle by Cory Littleton and Johnathan Abram),,
4,14:25,1,10,DAL 26,27,19,Dak Prescott pass complete short right to Noah Brown for 7 yards (tackle by Cory Littleton),,
4,14:05,2,3,DAL 33,27,19,Dak Prescott pass complete deep left to Michael Gallup for 41 yards (tackle by Casey Hayward),,
4,13:33,1,10,LVR 26,27,19,Dak Prescott pass complete short left to Ezekiel Elliott for 12 yards (tackle by Cory Littleton and Johnathan Abram),,
4,13:08,1,10,LVR 14,27,19,Dak Prescott pass incomplete short left intended for Michael Gallup,,
4,13:04,2,10,LVR 14,27,19,Dak Prescott pass complete short right to Noah Brown for 7 yards (tackle by Casey Hayward),,
4,12:41,3,3,LVR 7,27,19,"Dak Prescott pass complete short right to Dalton Schultz for no gain, touchdown. Penalty on Tyron Smith: Illegal Formation, 5 yards (declined) . Penalty on Tyron Smith: Offensive Holding, 10 yards (accepted) (no play)",,
4,12:38,3,13,LVR 17,27,19,Dak Prescott pass complete short right to Tony Pollard for 6 yards (tackle by Brandon Facyson),,
4,12:02,4,7,LVR 11,27,22,Greg Zuerlein 29 yard field goal good,,
4,12:00,,,DAL 35,27,22,"Greg Zuerlein kicks off 65 yards, touchback.",,
4,12:00,1,10,LVR 25,27,22,Derek Carr pass complete short right to DeSean Jackson for 16 yards (tackle by Anthony Brown),,
4,11:23,1,10,LVR 41,27,22,"Josh Jacobs for no gain (tackle by Dorance Armstrong). Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",,
4,10:57,1,20,LVR 31,27,22,Derek Carr pass complete deep middle to Hunter Renfrow for 54 yards (tackle by Jourdan Lewis),,
4,10:07,1,10,DAL 15,27,22,Josh Jacobs left tackle for 4 yards (tackle by Leighton Vander Esch),,
4,9:28,2,6,DAL 11,27,22,"Josh Jacobs for no gain (tackle by Leighton Vander Esch and Micah Parsons). Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",,
4,9:09,2,16,DAL 21,27,22,Derek Carr pass incomplete short left intended for Josh Jacobs,,
4,9:04,3,16,DAL 21,27,22,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Dorance Armstrong),,
4,8:22,4,7,DAL 12,30,22,"Daniel Carlson 30 yard field goal good. Penalty on Quinton Bohanna: Illegal Formation, 5 yards (declined)",,
4,8:18,,,LVR 35,30,22,"Daniel Carlson kicks off 65 yards, touchback.",,
4,8:18,1,10,DAL 25,30,22,Dak Prescott pass complete short middle to Cedrick Wilson for 5 yards (tackle by Denzel Perryman),,
4,7:59,2,5,DAL 30,30,22,Dak Prescott pass incomplete short left intended for Michael Gallup,,
4,7:54,3,5,DAL 30,30,22,Dak Prescott sacked by Yannick Ngakoue for -2 yards,,
4,7:21,4,7,DAL 28,30,22,"Bryan Anger punts 56 yards, returned by Hunter Renfrow for 9 yards (tackle by Luke Gifford and Francis Bernard)",,
4,7:10,1,10,LVR 25,30,22,Josh Jacobs up the middle for 2 yards (tackle by Justin Hamilton and Keanu Neal),,
4,6:28,2,8,LVR 27,30,22,Derek Carr pass complete short left to Zay Jones for 9 yards (tackle by Jayron Kearse and Trevon Diggs),,
4,5:53,1,10,LVR 36,30,22,Josh Jacobs up the middle for 4 yards (tackle by Carlos Watkins),,
4,5:08,2,6,LVR 40,30,22,"Josh Jacobs left tackle for 4 yards (tackle by Keanu Neal). Penalty on Brandon Parker: Offensive Holding, 10 yards (accepted) (no play)",,
4,4:41,2,16,LVR 30,30,22,Derek Carr pass complete short right to Zay Jones for 4 yards (tackle by Jourdan Lewis and Jayron Kearse),,
4,4:04,3,12,LVR 34,30,22,Derek Carr pass incomplete deep left intended for Zay Jones,,
4,3:55,4,12,LVR 34,30,22,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",,
4,3:55,4,17,LVR 29,30,22,"AJ Cole punts 54 yards, returned by Cedrick Wilson for 14 yards (tackle by Marquel Lee)",,
4,3:41,1,10,DAL 31,30,22,Dak Prescott pass complete short right to Noah Brown for 4 yards (tackle by Dallin Leavitt),,
4,3:23,2,6,DAL 35,30,22,Dak Prescott pass complete deep left to Michael Gallup for 32 yards (tackle by Casey Hayward),,
4,3:17,1,10,LVR 33,30,22,Ezekiel Elliott up the middle for 1 yard (tackle by Solomon Thomas),,
4,2:59,2,9,LVR 32,30,28,"Dak Prescott pass complete deep middle to Dalton Schultz for 32 yards, touchdown",,
4,2:54,,,LVR 2,30,30,Two Point Attempt: Dak Prescott pass complete to to Dalton Schultz for no gain,,
4,2:54,,,DAL 35,30,30,"Greg Zuerlein kicks off 65 yards, touchback.",,
4,2:54,1,10,LVR 25,30,30,Derek Carr pass complete deep left to DeSean Jackson for 30 yards (tackle by Malik Hooker),,
4,2:30,1,10,DAL 45,30,30,Josh Jacobs up the middle for 5 yards (tackle by Keanu Neal),,
4,2:06,2,5,DAL 40,30,30,"Penalty on Andre James: False Start, 5 yards (accepted) (no play)",,
4,2:06,2,10,DAL 45,30,30,Derek Carr pass complete short left to Hunter Renfrow for 7 yards (tackle by Jourdan Lewis),,
4,2:00,3,3,DAL 38,30,30,Derek Carr pass incomplete short middle intended for Foster Moreau,,
4,1:57,4,3,DAL 38,33,30,Daniel Carlson 56 yard field goal good,,
4,1:52,,,LVR 35,33,30,"Daniel Carlson kicks off 65 yards, touchback.",,
4,1:52,1,10,DAL 25,33,30,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Desmond Trufant),,
4,1:48,2,10,DAL 25,33,30,Dak Prescott pass complete short right to Cedrick Wilson for 11 yards (tackle by Trevon Moehrig),,
4,1:31,1,10,DAL 36,33,30,Dak Prescott pass complete short right to Noah Brown for 5 yards (tackle by Johnathan Abram),,
4,1:13,2,5,DAL 41,33,30,Dak Prescott pass complete short middle to Ezekiel Elliott for 3 yards (tackle by Denzel Perryman),,
4,0:56,3,2,DAL 44,33,30,Dak Prescott pass complete short middle to Michael Gallup for 17 yards (tackle by Casey Hayward and Trevon Moehrig),,
4,0:47,,,,,,Timeout #2 by Dallas Cowboys,,
4,0:47,1,10,LVR 39,33,30,Dak Prescott pass complete short right to Cedrick Wilson for 10 yards (tackle by Nate Hobbs),,
4,0:37,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:37,1,10,LVR 29,33,30,Dak Prescott pass complete short right to Ezekiel Elliott for 2 yards (tackle by Johnathan Abram),,
4,0:32,2,8,LVR 27,33,30,Dak Prescott pass incomplete short right intended for Dalton Schultz,,
4,0:28,3,8,LVR 27,33,30,Dak Prescott pass incomplete deep middle intended for Dalton Schultz,,
4,0:24,4,8,LVR 27,33,33,Greg Zuerlein 45 yard field goal good,,
4,0:19,,,DAL 35,33,33,"Greg Zuerlein kicks off 65 yards, touchback.",,
4,0:19,1,10,LVR 25,33,33,Derek Carr kneels for -1 yards,,
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,LVR,DAL,Detail,EPB,EPA
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the overtime kickoff.",,
OT,10:00,2,11,LVR 35,33,33,"Daniel Carlson kicks off 63 yards, returned by Tony Pollard for 11 yards (tackle by Nate Hobbs). Penalty on Luke Gifford: Offensive Illegal Block Above the Waist, 6 yards (accepted)",,
OT,9:54,1,10,DAL 7,33,33,Dak Prescott pass complete short left to Ezekiel Elliott for 2 yards (tackle by Johnathan Abram),,
OT,9:34,2,8,DAL 9,33,33,Dak Prescott pass complete short left to Ezekiel Elliott for 4 yards (tackle by Johnathan Hankins),,
OT,8:57,3,4,DAL 13,33,33,Dak Prescott pass incomplete short right intended for Noah Brown,,
OT,8:50,4,4,DAL 13,33,33,"Bryan Anger punts 59 yards, returned by Hunter Renfrow for 4 yards (tackle by Tony Pollard). Penalty on Amik Robertson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
OT,8:40,1,10,LVR 22,33,33,Derek Carr pass complete short right to Josh Jacobs for 8 yards (tackle by Keanu Neal),,
OT,8:03,2,2,LVR 30,33,33,Josh Jacobs up the middle for 21 yards (tackle by Jourdan Lewis and Damontae Kazee),,
OT,7:23,1,10,DAL 49,33,33,Josh Jacobs left guard for -1 yards (tackle by Micah Parsons),,
OT,6:47,2,11,DAL 50,33,33,Derek Carr sacked by Micah Parsons for -7 yards,,
OT,6:04,3,18,LVR 43,33,33,"Derek Carr pass incomplete short right intended for Zay Jones. Penalty on Anthony Brown: Defensive Pass Interference, 33 yards (accepted) (no play)",,
OT,5:54,1,10,DAL 24,33,33,Josh Jacobs up the middle for no gain (tackle by Trysten Hill),,
OT,5:15,2,10,DAL 24,33,33,Kenyan Drake left tackle for 4 yards (tackle by Trevon Diggs and Malik Hooker),,
OT,4:40,3,6,DAL 20,33,33,Kenyan Drake left tackle for 4 yards (tackle by Keanu Neal),,
OT,4:31,,,,,,Timeout #1 by Dallas Cowboys,,
OT,4:31,4,2,DAL 16,33,33,"Penalty on Brandon Parker: False Start, 5 yards (accepted) (no play)",,
OT,4:31,4,7,DAL 21,33,33,"Penalty on C.J. Goodwin: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
OT,4:31,4,2,DAL 16,33,33,"Penalty on C.J. Goodwin: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
OT,4:31,1,10,DAL 11,36,33,Daniel Carlson 29 yard field goal good,,
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
