Quarter,Time,Tm,Detail,LVR,DAL
1,11:45,Raiders,DeSean Jackson 56 yard pass from Derek Carr (Daniel Carlson kick),7,0
,7:38,Cowboys,Sean McKeon 10 yard pass from Dak Prescott (Greg Zuerlein kick failed),7,6
,1:33,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),14,6
2,8:46,Raiders,Daniel Carlson 22 yard field goal,17,6
,0:25,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),17,13
3,7:13,Raiders,Marcus Mariota 3 yard rush (Daniel Carlson kick),24,13
,7:00,Cowboys,Tony Pollard 100 yard kickoff return (run failed),24,19
,3:28,Raiders,Daniel Carlson 46 yard field goal,27,19
4,12:00,Cowboys,Greg Zuerlein 29 yard field goal,27,22
,8:18,Raiders,Daniel Carlson 30 yard field goal,30,22
,2:54,Cowboys,Dalton Schultz 32 yard pass from Dak Prescott (Dalton Schultz pass from Dak Prescott),30,30
,1:52,Raiders,Daniel Carlson 56 yard field goal,33,30
,0:19,Cowboys,Greg Zuerlein 45 yard field goal,33,33
OT,4:28,Raiders,Daniel Carlson 29 yard field goal,36,33
