Unnamed: 0,LVR,DAL
First Downs,28,23
Rush-Yds-TDs,35-143-2,20-64-1
Cmp-Att-Yd-TD-INT,24-39-373-1-0,32-47-375-2-0
Sacked-Yards,3-7,1-2
Net Pass Yards,366,373
Total Yards,509,437
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,14-110,14-166
Third Down Conv.,3-13,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,39:02,26:30
