Unnamed: 0,HOU,JAX
First Downs,21,16
Rush-Yds-TDs,42-148-1,19-118-1
Cmp-Att-Yd-TD-INT,17-35-176-0-0,15-34-214-0-4
Sacked-Yards,3-18,2-10
Net Pass Yards,158,204
Total Yards,306,322
Fumbles-Lost,1-0,1-0
Turnovers,0,4
Penalties-Yards,6-51,9-65
Third Down Conv.,8-19,5-10
Fourth Down Conv.,1-1,0-0
Time of Possession,37:33,22:27
