Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,HOU 20,0,0,"Penalty on C.J. Fiedorowicz: False Start, 5 yards (no play)",0.280,-0.310
1,15:00,1,15,HOU 15,0,0,Arian Foster up the middle for no gain (tackle by Brandon Carr and George Selvie),-0.310,-1.070
1,14:35,2,15,HOU 15,0,0,Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 5 yards (tackle by Justin Durant),-1.070,-0.960
1,13:53,3,10,HOU 20,0,0,Ryan Fitzpatrick pass incomplete,-0.960,-2.030
1,13:47,4,10,HOU 20,0,0,"Shane Lechler punts 60 yards, returned by Dwayne Harris for no gain. Penalty on C.J. Spillman: Offensive Holding, 10 yards",-2.030,0.380
1,13:33,1,10,DAL 10,0,0,DeMarco Murray up the middle for no gain (tackle by J.J. Watt),-0.380,-0.780
1,12:58,2,10,DAL 10,0,0,Tony Romo pass incomplete short middle intended for Dez Bryant,-0.780,-1.420
1,12:49,3,10,DAL 10,0,0,Tony Romo pass incomplete short middle intended for DeMarco Murray,-1.420,-2.490
1,12:45,4,10,DAL 10,0,0,"Chris Jones punts 49 yards, fair catch by Keshawn Martin",-2.490,-1.660
1,12:36,1,10,HOU 41,0,0,Ryan Fitzpatrick pass complete short middle to Ryan Griffin for 8 yards (tackle by Brandon Carr),1.660,2.200
1,12:02,2,2,HOU 49,0,0,Ryan Fitzpatrick pass incomplete deep middle intended for Andre Johnson,2.200,1.490
1,11:56,3,2,HOU 49,0,0,Ryan Fitzpatrick pass complete short middle to Andre Johnson for 11 yards (tackle by Brandon Carr),1.490,2.920
1,11:17,1,10,DAL 40,0,0,Ryan Fitzpatrick pass incomplete short right intended for Arian Foster is intercepted by Orlando Scandrick at DAL-32 and returned for 2 yards,2.920,-1.200
1,11:12,1,10,DAL 34,0,0,DeMarco Murray right tackle for 5 yards (tackle by D.J. Swearinger and Brian Cushing),1.200,1.330
1,10:25,2,5,DAL 39,0,0,Tony Romo pass complete short right to Cole Beasley for 4 yards (tackle by Johnathan Joseph),1.330,1.160
1,9:57,3,1,DAL 43,0,0,DeMarco Murray up the middle for 5 yards (tackle by Johnathan Joseph),1.160,2.130
1,9:22,1,10,DAL 48,0,0,DeMarco Murray right tackle for 1 yard (tackle by Ryan Pickett),2.130,1.720
1,8:44,2,9,DAL 49,0,0,Tony Romo pass complete deep right to Dwayne Harris for 18 yards (tackle by Kareem Jackson),1.720,3.380
1,8:05,1,10,HOU 33,0,0,DeMarco Murray left tackle for 5 yards (tackle by Justin Tuggle and Whitney Mercilus),3.380,3.510
1,7:19,2,5,HOU 28,0,0,Tony Romo sacked by Brian Cushing for -8 yards,3.510,1.750
1,6:33,3,13,HOU 36,0,0,Tony Romo pass complete short right to Dez Bryant for 15 yards (tackle by Johnathan Joseph),1.750,4.170
1,5:57,1,10,HOU 21,0,0,Tony Romo pass complete short left to Dwayne Harris for 4 yards (tackle by Andre Hal),4.170,4.200
1,5:17,2,6,HOU 17,0,0,DeMarco Murray right end for 5 yards (tackle by Jared Crick),4.200,4.490
1,4:37,3,1,HOU 12,0,0,"DeMarco Murray right tackle for -2 yards (tackle by Kendrick Lewis and Brooks Reed). DeMarco Murray fumbles (forced by Kendrick Lewis), recovered by Justin Tuggle at HOU-14 (tackle by Tyler Clutts)",4.490,0.280
1,4:28,1,10,HOU 14,0,0,Arian Foster right guard for 2 yards (tackle by Barry Church),-0.280,-0.510
1,3:55,2,8,HOU 16,0,0,Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 7 yards (tackle by Brandon Carr),-0.510,-0.320
1,3:14,3,1,HOU 23,0,0,Arian Foster left end for 1 yard (tackle by Anthony Hitchens),-0.320,0.540
1,2:33,1,10,HOU 24,0,0,Arian Foster left guard for 14 yards (tackle by Barry Church),0.540,1.470
1,2:02,1,10,HOU 38,0,0,Arian Foster left tackle for 4 yards (tackle by Barry Church),1.470,1.460
1,1:23,2,6,HOU 42,0,0,"Ryan Fitzpatrick up the middle for 6 yards (tackle by Justin Durant and Rolando McClain). Penalty on Ben Jones: Offensive Holding, 10 yards (no play)",1.460,0.110
1,0:54,2,16,HOU 32,0,0,Ryan Fitzpatrick pass incomplete short right intended for Damaris Johnson (defended by Orlando Scandrick),0.110,-0.560
1,0:50,3,16,HOU 32,0,0,Arian Foster left end for 13 yards (tackle by Sterling Moore),-0.560,-0.390
1,0:32,4,3,HOU 45,0,0,"Shane Lechler punts 42 yards, returned by Dwayne Harris for no gain. Penalty on Anthony Hitchens: Offensive Holding, 6 yards, Penalty on C.J. Spillman: Illegal Block Above the Waist (Declined)",-0.390,0.380
1,0:22,1,10,DAL 7,0,0,Tony Romo pass complete short left to Dez Bryant for 2 yards (tackle by Kareem Jackson),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DAL 9,0,0,Tony Romo pass incomplete short right intended for Terrance Williams,-0.630,-1.190
2,14:55,3,8,DAL 9,0,0,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Elbert Mack),-1.190,0.040
2,14:21,1,10,DAL 18,0,0,DeMarco Murray left guard for 5 yards (tackle by Justin Tuggle),0.040,0.280
2,13:44,2,5,DAL 23,0,0,Tony Romo pass incomplete short left intended for DeMarco Murray,0.280,-0.530
2,13:38,3,5,DAL 23,0,0,Tony Romo pass complete short left to DeMarco Murray for 10 yards (tackle by Whitney Mercilus),-0.530,1.140
2,12:57,1,10,DAL 33,0,0,DeMarco Murray left end for 9 yards (tackle by Justin Tuggle),1.140,1.810
2,12:22,2,1,DAL 42,0,0,Joseph Randle left tackle for 2 yards (tackle by Brian Cushing and Kendrick Lewis),1.810,1.860
2,11:43,1,10,DAL 44,0,0,Joseph Randle right tackle for 2 yards (tackle by Brooks Reed),1.860,1.590
2,11:06,2,8,DAL 46,0,0,Tony Romo pass complete short left to Jason Witten for 4 yards (tackle by Kareem Jackson),1.590,1.420
