Quarter,Time,Tm,Detail,HOU,DAL
2,0:11,Cowboys,Dan Bailey 33 yard field goal,0,3
3,8:49,Texans,Arian Foster 15 yard rush (Randy Bullock kick),7,3
,6:08,Cowboys,Terrance Williams 43 yard pass from Tony Romo (Dan Bailey kick),7,10
4,9:44,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),7,17
,2:27,Texans,Randy Bullock 29 yard field goal,10,17
,0:41,Texans,Arian Foster 1 yard rush (Randy Bullock kick),17,17
OT,7:45,Cowboys,Dan Bailey 49 yard field goal,17,20
