Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 56 yards, returned by Adam Jennings for 16 yards (tackle by Dennis Haley)",0.000,0.940
1,14:55,1,10,ATL 30,0,0,Warrick Dunn right tackle for 4 yards (tackle by Trevor Pryce),0.940,0.930
1,14:17,2,6,ATL 34,0,0,Michael Vick pass incomplete short left intended for Ashley Lelie,0.930,0.230
1,14:13,3,6,ATL 34,0,0,Michael Vick pass incomplete short left intended for Ashley Lelie (defended by Chris McAlister),0.230,-1.110
1,14:09,4,6,ATL 34,0,0,"Penalty on Dennis Haley: Neutral Zone Infraction, 5 yards (no play)",-1.110,-0.780
1,14:09,4,1,ATL 39,0,0,Warrick Dunn left tackle for -1 yards (tackle by Terrell Suggs),-0.780,-3.050
1,14:05,1,10,ATL 38,0,0,Jamal Lewis right end for -3 yards (tackle by DeAngelo Hall and Michael Boley),3.050,2.100
1,13:30,2,13,ATL 41,0,0,Steve McNair pass complete short middle to Todd Heap for 12 yards (tackle by Demorrio Williams and Michael Boley),2.100,3.010
1,12:47,3,1,ATL 29,0,0,Jamal Lewis middle for 4 yards (tackle by Roderick Coleman and Demorrio Williams),3.010,3.910
1,12:13,1,10,ATL 25,0,0,Steve McNair pass complete short right to Derrick Mason for 6 yards (tackle by Michael Boley),3.910,4.200
1,11:33,2,4,ATL 19,0,0,Musa Smith middle for no gain (tackle by Paul Carrington and Keith Brooking),4.200,3.490
1,10:54,3,4,ATL 19,0,0,Steve McNair sacked by Josh Mallard for -5 yards,3.490,1.870
1,10:25,4,9,ATL 24,0,0,Matt Stover 42 yard field goal no good,1.870,-1.070
1,10:20,1,10,ATL 32,0,0,Warrick Dunn for 12 yards (tackle by Ed Reed),1.070,1.860
1,9:53,1,10,ATL 44,0,0,Michael Vick pass complete short left to Alge Crumpler for 9 yards (tackle by Samari Rolle),1.860,2.530
1,9:28,2,1,BAL 47,0,0,Michael Vick pass complete short left to Warrick Dunn for 5 yards (tackle by Adalius Thomas),2.530,2.790
1,9:00,1,10,BAL 42,0,0,Michael Vick pass complete short right to Michael Jenkins for 9 yards (tackle by Chris McAlister),2.790,3.460
,,,,,,,"BAL challenged the ruling, and the play was upheld.",,
1,8:27,2,1,BAL 33,0,0,Warrick Dunn right end for 3 yards (tackle by Terrell Suggs and Bart Scott),3.460,3.580
1,8:07,1,10,BAL 30,0,0,Warrick Dunn left tackle for 1 yard (tackle by Haloti Ngata and Adalius Thomas),3.580,3.170
1,7:33,2,9,BAL 29,0,0,Adam Jennings right end for -4 yards (tackle by Corey Ivy),3.170,1.950
1,7:03,3,13,BAL 33,0,0,Warrick Dunn left tackle for -4 yards (tackle by Terrell Suggs),1.950,0.790
1,6:31,4,17,BAL 37,0,0,Michael Koenen punts 35 yards,0.790,0.380
1,6:18,1,10,BAL 2,0,0,Jamal Lewis left tackle for 9 yards (tackle by DeAngelo Hall),-0.380,-0.120
1,5:37,2,1,BAL 11,0,0,Steve McNair pass complete deep middle to Mark Clayton for 17 yards (tackle by Allen Rossum),-0.120,0.810
1,4:55,1,10,BAL 28,0,0,Jamal Lewis right tackle for 3 yards (tackle by Keith Brooking),0.810,0.670
1,4:13,2,7,BAL 31,0,0,Steve McNair pass incomplete short middle intended for Todd Heap,0.670,-0.030
1,4:13,3,7,BAL 31,0,0,Steve McNair pass complete short right to Musa Smith for 4 yards (tackle by DeAngelo Hall),-0.030,-1.040
1,4:13,4,3,BAL 35,0,0,"Sam Koch punts 39 yards, returned by Allen Rossum for 36 yards (tackle by Sam Koch)",-1.040,-3.050
1,3:22,1,10,BAL 38,0,0,Michael Vick left end for 11 yards (tackle by Dawan Landry),3.050,3.780
1,2:59,1,10,BAL 27,0,0,Michael Vick pass complete short middle to Justin Griffith for 8 yards (tackle by Jarret Johnson),3.780,4.350
1,2:21,2,2,BAL 19,0,0,Warrick Dunn middle for 6 yards (tackle by Kelly Gregg and Dawan Landry),4.350,4.710
1,1:49,1,10,BAL 13,6,0,"Michael Vick pass complete short left to Michael Jenkins for 13 yards, touchdown",4.710,7.000
1,,,,BAL 2,7,0,Morten Andersen kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Michael Koenen kicks off 63 yards, returned by B.J. Sams for 10 yards (tackle by Adam Jennings)",0.000,-0.060
1,1:39,1,10,BAL 17,7,0,Steve McNair pass complete short middle to Todd Heap for 14 yards (tackle by Michael Boley and Keith Brooking). Penalty on Chauncey Davis: Defensive Holding (Declined),-0.060,1.000
1,0:59,1,10,BAL 31,7,0,Steve McNair pass incomplete short left intended for Mark Clayton,1.000,0.460
1,0:53,2,10,BAL 31,7,0,Steve McNair pass incomplete short right intended for Daniel Wilcox,0.460,-0.230
1,0:47,3,10,BAL 31,7,0,"Penalty on Jonathan Ogden: False Start, 5 yards (no play)",-0.230,-0.890
1,0:47,3,15,BAL 26,7,0,Steve McNair pass complete short left to Musa Smith for 5 yards (tackle by Omare Lowe and Demorrio Williams),-0.890,-1.310
Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,10,BAL 31,7,0,Sam Koch punts 39 yards,-1.310,-0.940
2,14:49,1,10,ATL 30,7,0,Jerious Norwood left end for -2 yards (tackle by Samari Rolle),0.940,0.120
2,14:09,2,12,ATL 28,7,0,Michael Vick pass incomplete intended for Michael Jenkins,0.120,-0.560
2,14:04,3,12,ATL 28,7,0,Michael Vick pass complete short left to Justin Griffith for 10 yards (tackle by Corey Ivy),-0.560,-0.850
2,13:21,4,2,ATL 38,7,0,Michael Koenen punts 34 yards,-0.850,-0.810
2,13:13,1,10,BAL 28,7,0,"Steve McNair pass incomplete deep right intended for Mark Clayton. Penalty on DeAngelo Hall: Defensive Pass Interfere, 27 yards (no play)",0.810,2.590
2,13:07,1,10,ATL 45,7,0,Jamal Lewis middle for 1 yard (tackle by Paul Carrington),2.590,2.180
2,12:22,2,9,ATL 44,7,0,Steve McNair pass complete short middle to Ovie Mughelli for 8 yards (tackle by Demorrio Williams and Keith Brooking),2.180,2.540
