Unnamed: 0,ATL,BAL
First Downs,12,20
Rush-Yds-TDs,25-104-0,31-103-3
Cmp-Att-Yd-TD-INT,11-21-127-1-0,24-34-236-0-0
Sacked-Yards,5-45,2-11
Net Pass Yards,82,225
Total Yards,186,328
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,4-47,7-56
Third Down Conv.,2-11,8-16
Fourth Down Conv.,0-2,2-2
Time of Possession,23:17,36:43
