Quarter,Time,Tm,Detail,NYJ,ATL
1.0,8:46,Falcons,Younghoe Koo 31 yard field goal,0,3
,1:42,Falcons,Kyle Pitts 2 yard pass from Matt Ryan (Younghoe Koo kick),0,10
2.0,11:01,Falcons,Hayden Hurst 17 yard pass from Matt Ryan (Younghoe Koo kick),0,17
,2:14,Jets,Matt Ammendola 31 yard field goal,3,17
,0:00,Falcons,Younghoe Koo 52 yard field goal,3,20
3.0,10:56,Jets,Ty Johnson 1 yard rush (Matt Ammendola kick failed),9,20
4.0,6:55,Jets,Michael Carter 2 yard rush (Jamison Crowder pass from Zach Wilson),17,20
,2:19,Falcons,Mike Davis 3 yard rush (Younghoe Koo kick),17,27
,0:17,Jets,Matt Ammendola 49 yard field goal,20,27
