Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 66 yards, returned by Devin Hester for 28 yards (tackle by Matt Bryant)",0.000,1.070
1,14:53,1,10,CHI 32,0,0,Thomas Jones left tackle for 2 yards (tackle by Ryan Nece),1.070,0.800
1,14:15,2,8,CHI 34,0,0,Rex Grossman pass incomplete short right intended for Thomas Jones,0.800,0.100
1,14:11,3,8,CHI 34,0,0,Rex Grossman pass complete short left to Bernard Berrian for 7 yards (tackle by Juran Bolden),0.100,-0.650
1,13:25,4,1,CHI 41,0,0,"Brad Maynard punts 42 yards, returned by Mark Jones for 11 yards (tackle by Cameron Worrell)",-0.650,-0.810
1,13:15,1,10,TAM 28,0,0,Bruce Gradkowski pass incomplete deep middle intended for Joey Galloway,0.810,0.260
1,13:09,2,10,TAM 28,0,0,Mike Alstott right tackle for 2 yards (tackle by Hunter Hillenmeyer and Ricky Manning),0.260,-0.160
1,12:32,3,8,TAM 30,0,0,Bruce Gradkowski pass complete short right to Michael Pittman for 5 yards (tackle by Charles Tillman and Lance Briggs),-0.160,-1.040
1,11:51,4,3,TAM 35,0,0,"Josh Bidwell punts 46 yards, returned by Devin Hester for 19 yards (tackle by Earnest Graham)",-1.040,-1.470
1,11:39,1,10,CHI 38,0,0,Thomas Jones left guard for 3 yards (tackle by Ellis Wyms and Jermaine Phillips),1.470,1.330
1,11:06,2,7,CHI 41,0,0,Thomas Jones left tackle for 8 yards (tackle by Jermaine Phillips),1.330,2.190
1,10:27,1,10,CHI 49,0,0,Rex Grossman pass complete short left to Thomas Jones for 9 yards (tackle by Shelton Quarles),2.190,2.860
1,9:49,2,1,TAM 42,0,0,Rex Grossman pass complete short right to Bernard Berrian for 11 yards (tackle by Will Allen),2.860,3.510
1,9:08,1,10,TAM 31,0,0,Thomas Jones left end for 7 yards (tackle by Greg Spires),3.510,3.910
1,8:28,2,3,TAM 24,0,0,Thomas Jones left end for no gain (tackle by Shelton Quarles),3.910,3.200
1,7:49,3,3,TAM 24,0,6,"Rex Grossman pass complete deep left to Desmond Clark for 24 yards, touchdown",3.200,7.000
1,,,,TAM 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,7,"Robbie Gould kicks off 62 yards, returned by Michael Pittman for 18 yards (tackle by Darrell McClover)",0.000,0.670
1,7:37,1,10,TAM 26,0,7,Cadillac Williams right tackle for 5 yards (tackle by Charles Tillman and Chris Harris),0.670,0.810
1,7:09,2,5,TAM 31,0,7,Bruce Gradkowski sacked by Ricky Manning for 0 yards,0.810,0.100
1,6:35,3,5,TAM 31,0,7,Bruce Gradkowski pass incomplete short right intended for Joey Galloway (defended by Charles Tillman),0.100,-1.310
1,6:31,4,5,TAM 31,0,7,"Josh Bidwell punts 48 yards, returned by Bernard Berrian for no gain",-1.310,-0.340
1,6:23,1,10,CHI 21,0,7,Rex Grossman pass complete short left to Jason McKie for 3 yards (tackle by Ryan Nece),0.340,0.210
1,5:52,2,7,CHI 24,0,7,Cedric Benson left tackle for -6 yards (tackle by Ryan Nece and Greg Spires),0.210,-1.410
1,5:21,3,13,CHI 18,0,7,Rex Grossman pass complete short left to Thomas Jones for 6 yards (tackle by Shelton Quarles),-1.410,-1.770
1,4:41,4,7,CHI 24,0,7,Brad Maynard punts 56 yards,-1.770,-0.280
1,4:33,1,10,TAM 20,0,7,Cadillac Williams right end for -4 yards (tackle by Lance Briggs and Ian Scott),0.280,-0.940
1,3:54,2,14,TAM 16,0,7,Bruce Gradkowski pass complete short middle to Cadillac Williams for 7 yards (tackle by Brian Urlacher),-0.940,-0.560
1,3:09,3,7,TAM 23,0,7,Bruce Gradkowski pass incomplete short left intended for Joey Galloway,-0.560,-1.830
1,3:05,4,7,TAM 23,0,7,"Josh Bidwell punts 51 yards, returned by Devin Hester for no gain. Penalty on Ricky Manning: Offensive Holding, 10 yards",-1.830,0.140
1,2:53,1,10,CHI 16,0,7,Cedric Benson left guard for 6 yards (tackle by Jermaine Phillips),-0.140,0.280
1,2:17,2,4,CHI 22,0,7,Cedric Benson left guard for 2 yards (tackle by Greg Spires and Shelton Quarles),0.280,-0.320
1,1:37,3,2,CHI 24,0,7,"Thomas Jones left end for -1 yards (tackle by Shelton Quarles). Penalty on Chris Hovan: Defensive Holding, 5 yards (no play)",-0.320,0.870
1,1:15,1,10,CHI 29,0,7,Rex Grossman pass complete short right to Desmond Clark for 15 yards (tackle by Shelton Quarles and Will Allen),0.870,1.860
,,,,,,,"CHI challenged the ruling, and the original play was overturned.",,
1,0:59,1,10,CHI 44,0,7,Rex Grossman pass incomplete short left intended for Devin Hester,1.860,1.320
1,0:56,2,10,CHI 44,0,7,Rex Grossman pass complete short right to Muhsin Muhammad for 8 yards (tackle by Phillip Buchanon and Derrick Brooks),1.320,1.690
1,0:15,3,2,TAM 48,0,7,Rex Grossman sacked by Greg Spires for -8 yards,1.690,-0.460
Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,10,CHI 44,0,7,"Brad Maynard punts 39 yards, fair catch by Mark Jones",-0.460,0.060
2,14:52,1,10,TAM 17,0,7,Bruce Gradkowski pass complete short right to Maurice Stovall for 17 yards (tackle by Danieal Manning and Charles Tillman),-0.060,1.200
2,14:16,1,10,TAM 34,0,7,Bruce Gradkowski pass incomplete short left intended for Joey Galloway (defended by Ian Scott),1.200,0.660
2,14:12,2,10,TAM 34,0,7,Michael Pittman left tackle for 5 yards (tackle by Chris Harris and Lance Briggs),0.660,0.630
2,13:24,3,5,TAM 39,0,7,Bruce Gradkowski pass complete short left to Paris Warren for 9 yards (tackle by Devin Hester),0.630,2.130
2,12:45,1,10,TAM 48,0,7,Bruce Gradkowski pass incomplete short left intended for Joey Galloway (defended by Danieal Manning),2.130,1.580
2,12:38,2,10,TAM 48,0,7,Cadillac Williams right end for no gain (tackle by Chris Harris),1.580,0.890
2,11:52,3,10,TAM 48,0,7,"Bruce Gradkowski sacked by Ricky Manning for -8 yards. Bruce Gradkowski fumbles (forced by Ricky Manning), recovered by Anthony Davis at TAM-43",0.890,-0.520
2,11:11,4,15,TAM 43,0,7,Josh Bidwell punts 52 yards,-0.520,0.380
2,11:03,1,10,CHI 5,0,7,Rex Grossman pass incomplete deep left intended for Bernard Berrian (defended by Ronde Barber),-0.380,-0.780
2,10:56,2,10,CHI 5,0,7,Thomas Jones left end for 3 yards (tackle by Derrick Brooks). Penalty on Roberto Garza: Offensive Holding (Declined),-0.780,-1.070
