Quarter,Time,Tm,Detail,TAM,CHI
1,7:42,Bears,Desmond Clark 24 yard pass from Rex Grossman (Robbie Gould kick),0,7
2,8:19,Buccaneers,Matt Bryant 45 yard field goal,3,7
,3:58,Bears,Thomas Jones 5 yard rush (Robbie Gould kick),3,14
,0:23,Bears,Desmond Clark 12 yard pass from Rex Grossman (Robbie Gould kick),3,21
3,5:22,Bears,Robbie Gould 38 yard field goal,3,24
,0:25,Buccaneers,Mike Alstott 14 yard rush (Matt Bryant kick),10,24
4,14:13,Buccaneers,Alex Smith 9 yard pass from Tim Rattay (Matt Bryant kick),17,24
,9:23,Bears,Cedric Benson 4 yard rush (Robbie Gould kick),17,31
,6:13,Buccaneers,Joey Galloway 64 yard pass from Tim Rattay (Matt Bryant kick),24,31
,3:44,Buccaneers,Ike Hilliard 44 yard pass from Tim Rattay (Matt Bryant kick),31,31
OT,3:37,Bears,Robbie Gould 25 yard field goal,31,34
