Unnamed: 0,TAM,CHI
First Downs,11,27
Rush-Yds-TDs,19-57-1,34-134-2
Cmp-Att-Yd-TD-INT,25-46-305-3-1,29-44-339-2-0
Sacked-Yards,2-5,4-27
Net Pass Yards,300,312
Total Yards,357,446
Fumbles-Lost,2-1,3-1
Turnovers,2,1
Penalties-Yards,9-73,8-79
Third Down Conv.,6-18,5-16
Fourth Down Conv.,0-0,0-0
Time of Possession,29:27,41:56
