Unnamed: 0,TEN,SFO
First Downs,14,25
Rush-Yds-TDs,34-152-3,20-108-1
Cmp-Att-Yd-TD-INT,12-20-172-0-0,29-45-286-2-3
Sacked-Yards,1-9,4-36
Net Pass Yards,163,250
Total Yards,315,358
Fumbles-Lost,0-0,2-1
Turnovers,0,4
Penalties-Yards,8-58,5-25
Third Down Conv.,4-12,4-13
Fourth Down Conv.,1-1,3-3
Time of Possession,26:10,33:50
