Quarter,Time,Tm,Detail,TEN,SFO
1.0,8:35,49ers,Joe Nedney 40 yard field goal,0,3
,5:56,Titans,Rob Bironas 21 yard field goal,3,3
2.0,13:08,Titans,Vince Young 7 yard rush (Rob Bironas kick),10,3
,9:31,49ers,Frank Gore 3 yard rush (Joe Nedney kick),10,10
,0:20,49ers,Jason Hill 12 yard pass from Alex Smith (Joe Nedney kick),10,17
3.0,5:40,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),17,17
4.0,10:55,49ers,Joe Nedney 25 yard field goal,17,20
,7:11,Titans,Chris Johnson 2 yard rush (Rob Bironas kick),24,20
,3:06,Titans,Rob Bironas 28 yard field goal,27,20
,2:51,Titans,Cortland Finnegan 39 yard interception return (Rob Bironas kick),34,20
,0:39,49ers,Jason Hill 3 yard pass from Alex Smith (Joe Nedney kick),34,27
