Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Adam Podlesh kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,MIN 20,0,0,Adrian Peterson right guard for 51 yards (tackle by Lance Briggs and Charles Tillman),0.280,3.640
1,14:13,1,10,CHI 29,0,0,Adrian Peterson up the middle for no gain (tackle by Lance Briggs),3.640,3.100
1,13:40,2,10,CHI 29,0,0,Adrian Peterson right tackle for 1 yard (tackle by Matt Toeaina),3.100,2.540
1,13:04,3,9,CHI 28,0,0,Christian Ponder pass complete short middle to Michael Jenkins for 11 yards (tackle by Kelvin Hayden and Lance Briggs),2.540,4.440
1,12:25,1,10,CHI 17,0,0,Adrian Peterson left end for 16 yards (tackle by Chris Conte and Major Wright),4.440,6.970
1,11:56,1,1,CHI 1,0,6,"Adrian Peterson left guard for 1 yard, touchdown",6.970,7.000
1,11:56,,,CHI 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,11:53,,,MIN 35,0,7,"Blair Walsh kicks off 63 yards, returned by Eric Weems for 15 yards (tackle by Andrew Sendejo)",0.000,-0.060
1,11:49,1,10,CHI 17,0,7,Jay Cutler pass incomplete short middle intended for Kellen Davis (defended by Jasper Brinkley),-0.060,-0.580
1,11:44,2,10,CHI 17,0,7,Jay Cutler pass complete short right to Devin Hester for 10 yards (tackle by Jamarca Sanford),-0.580,0.740
1,11:16,1,10,CHI 27,0,7,Matt Forte left guard for -1 yards (tackle by Jared Allen),0.740,0.060
1,10:43,2,11,CHI 26,0,7,Matt Forte right end for 7 yards (tackle by Harrison Smith),0.060,0.300
1,10:00,3,4,CHI 33,0,7,Jay Cutler pass incomplete deep middle intended for Alshon Jeffery is intercepted by Josh Robinson at CHI-49 and returned for 44 yards (tackle by Jay Cutler),0.300,-6.060
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
1,9:49,1,5,CHI 5,0,7,Adrian Peterson left guard for 3 yards (tackle by Major Wright),6.060,5.720
1,9:15,2,2,CHI 2,0,7,Adrian Peterson right end for 1 yard (tackle by Israel Idonije),5.720,5.170
1,8:46,3,1,CHI 1,0,13,"Adrian Peterson left tackle for 1 yard, touchdown",5.170,7.000
1,8:46,,,CHI 2,0,14,Blair Walsh kicks extra point good,0.000,0.000
1,8:42,,,MIN 35,0,14,"Blair Walsh kicks off 69 yards, returned by Eric Weems for 15 yards (tackle by Marvin Mitchell)",0.000,-0.370
1,8:38,1,10,CHI 11,0,14,Jay Cutler pass incomplete short right intended for Kellen Davis,-0.370,-0.780
1,8:31,2,10,CHI 11,0,14,Jay Cutler pass incomplete short right intended for Brandon Marshall (defended by Fred Evans),-0.780,0.000
1,8:27,,,,0,14,Timeout #1 by Chicago Bears,0.000,-1.420
1,8:27,3,10,CHI 11,0,14,Jay Cutler up the middle for 11 yards (tackle by Brian Robison),-1.420,0.410
1,7:49,1,10,CHI 22,0,14,Matt Forte left end for 4 yards (tackle by Erin Henderson and Jasper Brinkley),0.410,0.410
1,7:10,2,6,CHI 26,0,14,Jay Cutler pass complete short left to Devin Hester for 1 yard (tackle by Erin Henderson),0.410,-0.160
1,6:35,3,5,CHI 27,0,14,Jay Cutler pass complete short right to Matt Forte for -1 yards (tackle by Antoine Winfield),-0.160,-1.630
1,5:57,4,6,CHI 26,0,14,"Adam Podlesh punts 48 yards, fair catch by Marcus Sherels. Penalty on Rhett Ellison: Offensive Holding, 10 yards",-1.630,0.140
1,5:49,1,10,MIN 16,0,14,Christian Ponder pass complete short middle to Jerome Simpson for 13 yards (tackle by Major Wright),-0.140,0.870
1,5:16,1,10,MIN 29,0,14,Adrian Peterson up the middle for 2 yards (tackle by Lance Briggs),0.870,0.600
1,4:38,2,8,MIN 31,0,14,Christian Ponder sacked by Corey Wootton for -14 yards,0.600,-2.270
1,4:10,3,22,MIN 17,0,14,Adrian Peterson up the middle for -1 yards (tackle by Nick Roach),-2.270,-2.390
1,3:32,4,23,MIN 16,0,14,"Chris Kluwe punts 50 yards, returned by Devin Hester for 12 yards (tackle by Harrison Smith)",-2.390,-1.990
1,3:20,1,10,CHI 46,0,14,Jay Cutler pass incomplete deep middle intended for Brandon Marshall,1.990,1.450
1,3:11,2,10,CHI 46,0,14,Michael Bush left end for 6 yards (tackle by Jasper Brinkley),1.450,1.550
1,2:28,3,4,MIN 48,0,14,Jay Cutler pass complete short middle to Brandon Marshall for 12 yards (tackle by Jasper Brinkley),1.550,3.180
1,1:52,1,10,MIN 36,0,14,Matt Forte up the middle for 1 yard (tackle by Erin Henderson and Harrison Smith),3.180,2.770
1,1:18,2,9,MIN 35,0,14,Jay Cutler pass incomplete short middle intended for Kellen Davis,2.770,2.080
1,1:12,3,9,MIN 35,0,14,Jay Cutler pass incomplete deep middle intended for Brandon Marshall,2.080,0.970
1,1:12,4,9,MIN 35,0,14,"Penalty on Patrick Mannelly: False Start, 5 yards (no play)",0.970,0.590
1,1:07,4,14,MIN 40,0,14,"Adam Podlesh punts 31 yards, fair catch by Marcus Sherels",0.590,0.380
1,1:02,1,10,MIN 9,0,14,Adrian Peterson right guard for 14 yards (tackle by Chris Conte),-0.380,0.480
1,0:32,1,10,MIN 23,0,14,Adrian Peterson right tackle for 15 yards (tackle by Chris Conte),0.480,1.470
Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
