Quarter,Time,Tm,Detail,CHI,MIN
1.0,11:53,Vikings,Adrian Peterson 1 yard rush (Blair Walsh kick),0,7
,8:42,Vikings,Adrian Peterson 1 yard rush (Blair Walsh kick),0,14
2.0,1:52,Bears,Alshon Jeffery 23 yard pass from Jay Cutler (Robbie Gould kick),7,14
3.0,3:27,Vikings,Harrison Smith 56 yard interception return (Blair Walsh kick),7,21
4.0,1:48,Bears,Brandon Marshall 16 yard pass from Jason Campbell (Robbie Gould kick),14,21
