Unnamed: 0,CHI,MIN
First Downs,22,17
Rush-Yds-TDs,18-118-0,38-171-2
Cmp-Att-Yd-TD-INT,28-53-324-2-2,11-17-91-0-1
Sacked-Yards,2-4,1-14
Net Pass Yards,320,77
Total Yards,438,248
Fumbles-Lost,1-0,2-0
Turnovers,2,1
Penalties-Yards,10-80,7-54
Third Down Conv.,7-17,6-14
Fourth Down Conv.,1-2,0-0
Time of Possession,31:42,28:18
