Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Calvin Ridley left end for 19 yards (tackle by Marcus Williams),0.610,1.860
1,14:33,1,10,ATL 44,0,0,"Devonta Freeman left tackle for no gain (tackle by Malcom Brown). Penalty on David Onyemata: Illegal Use of Hands, 5 yards (no play)",1.860,2.190
1,14:09,1,10,ATL 49,0,0,Matt Ryan pass complete short middle to Devonta Freeman for 1 yard (tackle by Kiko Alonso),2.190,1.780
1,13:32,2,9,ATL 50,0,0,Devonta Freeman left tackle for 9 yards (tackle by Demario Davis),1.780,2.850
1,12:50,1,10,NOR 41,0,0,Devonta Freeman left tackle for 12 yards (tackle by Vonn Bell),2.850,3.640
1,12:14,1,10,NOR 29,0,0,Devonta Freeman left end for 4 yards (tackle by Cameron Jordan),3.640,3.640
1,11:41,2,6,NOR 25,0,0,Kenjon Barner left end for 12 yards (tackle by A.J. Klein and Demario Davis),3.640,4.710
1,11:08,1,10,NOR 13,0,0,"Penalty on Kaleb McGary: False Start, 5 yards (no play)",4.710,4.290
1,10:52,1,15,NOR 18,0,0,"Penalty on Jamon Brown: False Start, 5 yards (no play)",4.290,4.040
1,10:34,1,20,NOR 23,0,0,Brian Hill left guard for 1 yard (tackle by Demario Davis),4.040,2.940
1,10:05,2,19,NOR 22,0,0,Matt Ryan pass complete short left to Russell Gage for 3 yards (tackle by Marshon Lattimore),2.940,2.670
1,9:35,3,16,NOR 19,0,0,Matt Ryan pass incomplete short right. Penalty on James Carpenter: Offensive Holding (Declined),2.670,2.180
1,9:32,4,16,NOR 19,3,0,Younghoe Koo 37 yard field goal good,2.180,3.000
1,9:27,,,ATL 35,3,0,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
1,9:27,1,10,NOR 25,3,0,Latavius Murray right guard for 1 yard (tackle by Takkarist McKinley),0.610,0.200
1,8:52,2,9,NOR 26,3,0,Alvin Kamara left end for 8 yards (tackle by Deion Jones),0.200,0.560
1,8:27,3,1,NOR 34,3,0,Latavius Murray right tackle for 6 yards (tackle by Deion Jones),0.560,1.600
1,7:55,1,10,NOR 40,3,0,Drew Brees pass complete deep left to Michael Thomas for 16 yards (tackle by Isaiah Oliver),1.600,2.650
1,7:27,1,10,ATL 44,3,0,Drew Brees pass complete short middle to Jared Cook for 22 yards (tackle by Foyesade Oluokun),2.650,4.110
1,6:44,1,10,ATL 22,3,0,Taysom Hill pass complete deep left to Michael Thomas for 17 yards,4.110,6.060
1,6:10,1,5,ATL 5,3,0,Latavius Murray right tackle for no gain (tackle by Kemal Ishmael),6.060,5.150
1,5:36,2,5,ATL 5,3,0,Drew Brees pass complete short left to Taysom Hill for 3 yards (tackle by Kendall Sheffield),5.150,4.950
1,4:57,3,2,ATL 2,3,0,Drew Brees sacked by De'Vondre Campbell for -9 yards,4.950,2.700
1,4:13,4,11,ATL 11,3,3,Wil Lutz 29 yard field goal good,2.700,3.000
1,4:09,,,NOR 35,3,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,4:09,1,10,ATL 25,3,3,Devonta Freeman left tackle for 2 yards (tackle by Shy Tuttle and Demario Davis),0.610,0.330
1,3:32,2,8,ATL 27,3,3,Matt Ryan pass incomplete short left intended for Austin Hooper,0.330,-0.360
1,3:27,3,8,ATL 27,3,3,Matt Ryan pass complete short right to Calvin Ridley for 10 yards (tackle by Eli Apple),-0.360,1.400
1,3:07,1,10,ATL 37,3,3,Matt Ryan pass complete short left to Russell Gage for 9 yards (tackle by P.J. Williams and A.J. Klein),1.400,2.070
1,2:27,2,1,ATL 46,3,3,Devonta Freeman right guard for 4 yards (tackle by David Onyemata),2.070,2.260
1,1:55,1,10,ATL 50,3,3,Devonta Freeman left tackle for -1 yards (tackle by A.J. Klein),2.260,1.580
1,1:16,2,11,ATL 49,3,3,Matt Ryan pass complete short left to Devonta Freeman for 7 yards (tackle by Vonn Bell),1.580,1.820
1,0:41,3,4,NOR 44,3,3,Matt Ryan pass incomplete short left intended for Devonta Freeman (defended by Demario Davis),1.820,0.330
1,0:36,4,4,NOR 44,3,3,Matt Ryan right end for 5 yards (tackle by Vonn Bell),0.330,2.980
Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 39,3,3,Matt Ryan pass incomplete short left intended for Julio Jones (defended by Marshon Lattimore),2.980,2.440
2,14:58,2,10,NOR 39,3,3,Brian Hill right guard for 7 yards (tackle by Cameron Jordan),2.440,2.680
2,14:19,3,3,NOR 32,3,3,"Brian Hill right guard for 2 yards (tackle by Eli Apple). Penalty on Marcus Davenport: Illegal Use of Hands, 5 yards",2.680,3.910
2,13:55,,,,,,Timeout #1 by Atlanta Falcons,,
2,13:55,1,10,NOR 25,3,3,Devonta Freeman right guard for 1 yard (tackle by Kiko Alonso),3.910,3.500
2,13:15,2,9,NOR 24,3,3,"Matt Ryan pass incomplete short right. Penalty on Trey Hendrickson: Illegal Use of Hands, 5 yards (no play)",3.500,4.310
2,13:11,1,10,NOR 19,3,3,Devonta Freeman right guard for 3 yards (tackle by Marcus Williams),4.310,4.180
2,12:42,2,7,NOR 16,3,3,Matt Ryan pass complete short right to Devonta Freeman for 2 yards (tackle by Vonn Bell and Marshon Lattimore),4.180,3.760
2,12:00,3,5,NOR 14,3,3,"Matt Ryan pass incomplete short left intended for Julio Jones (defended by Marshon Lattimore). Penalty on Marshon Lattimore: Defensive Holding, 5 yards (no play)",3.760,5.140
2,11:56,1,9,NOR 9,3,3,Brian Hill left guard for 1 yard (tackle by Kiko Alonso),5.140,4.570
2,11:13,2,8,NOR 8,9,3,"Matt Ryan pass complete short middle to Austin Hooper for 8 yards, touchdown",4.570,7.000
2,11:09,,,NOR 15,10,3,Younghoe Koo kicks extra point good,0.000,0.000
2,11:09,,,ATL 35,10,3,"Younghoe Koo kicks off 63 yards, returned by Deonte Harris for 18 yards (tackle by Damontae Kazee)",0.000,0.280
