Unnamed: 0,ATL,NOR
First Downs,24,18
Rush-Yds-TDs,34-143-0,11-52-0
Cmp-Att-Yd-TD-INT,20-35-182-2-1,33-46-304-0-0
Sacked-Yards,1-8,6-46
Net Pass Yards,174,258
Total Yards,317,310
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-48,12-90
Third Down Conv.,6-15,3-12
Fourth Down Conv.,1-1,0-3
Time of Possession,33:46,26:14
