Quarter,Time,Down,ToGo,Location,BUF,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 62 yards, returned by Deonte Harty for 14 yards (tackle by Taiwan Jones)",,
1,14:57,1,10,NOR 17,0,0,Tony Jones right tackle for 2 yards (tackle by Tremaine Edmunds),,
1,14:25,2,8,NOR 19,0,0,Ty Montgomery right tackle for -2 yards (tackle by Matt Milano and Gregory Rousseau),,
1,13:52,3,10,NOR 17,0,0,Trevor Siemian pass complete short middle to Tre'Quan Smith for 7 yards (tackle by Tremaine Edmunds and Matt Milano),,
1,13:13,4,3,NOR 24,0,0,"Blake Gillikin punts 52 yards, returned by Marquez Stevenson for 11 yards (tackle by Zack Baun)",,
1,13:03,1,10,BUF 35,0,0,Josh Allen pass complete short right to Stefon Diggs for 14 yards (tackle by Paulson Adebo),,
1,12:25,1,10,BUF 49,0,0,Matt Breida left tackle for 6 yards (tackle by Shy Tuttle and Marcus Williams),,
1,11:45,2,4,NOR 45,0,0,Josh Allen left guard for 6 yards (tackle by Marcus Williams),,
1,11:08,1,10,NOR 39,0,0,Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Paulson Adebo),,
1,10:32,2,1,NOR 30,0,0,Matt Breida right guard for 9 yards (tackle by Marcus Williams and Malcolm Jenkins),,
1,9:56,1,10,NOR 21,0,0,Matt Breida right guard for 5 yards (tackle by Josiah Bronson),,
1,9:16,2,4,NOR 16,0,0,Devin Singletary right end for 2 yards (tackle by Marshon Lattimore),,
1,8:35,3,2,NOR 14,0,0,Josh Allen left end for 8 yards (tackle by Marcus Williams),,
1,7:56,1,6,NOR 6,0,0,Matt Breida right end for -1 yards (tackle by P.J. Williams),,
1,7:15,2,7,NOR 7,6,0,"Josh Allen pass complete short left to Dawson Knox for 7 yards, touchdown",,
1,7:09,,,NOR 15,7,0,Tyler Bass kicks extra point good,,
1,7:09,,,BUF 35,7,0,"Tyler Bass kicks off 63 yards, returned by Deonte Harty for 15 yards (tackle by Andre Smith)",,
1,7:03,1,10,NOR 17,7,0,Tony Jones left end for 3 yards (tackle by Ed Oliver),,
1,6:34,2,7,NOR 20,7,0,Trevor Siemian pass complete short right to Ty Montgomery for 8 yards (tackle by Tremaine Edmunds),,
1,5:57,1,10,NOR 28,7,0,Trevor Siemian pass complete short left to Tre'Quan Smith for 14 yards (tackle by Levi Wallace and Micah Hyde),,
1,5:21,1,10,NOR 42,7,0,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",,
1,4:59,1,15,NOR 37,7,0,Trevor Siemian pass incomplete short middle intended for Deonte Harty,,
1,4:54,2,15,NOR 37,7,0,Trevor Siemian pass complete short left to Ty Montgomery for 13 yards (tackle by Jordan Poyer),,
1,4:10,3,2,NOR 50,7,0,Trevor Siemian sacked by Mario Addison for -9 yards,,
1,3:31,4,11,NOR 41,7,0,"Blake Gillikin punts 42 yards, returned by Marquez Stevenson for 10 yards (tackle by Jeff Heath)",,
1,3:21,1,10,BUF 27,7,0,Matt Breida left tackle for 5 yards (tackle by Kwon Alexander),,
1,2:45,2,5,BUF 32,7,0,Matt Breida left end for 3 yards (tackle by Josiah Bronson and Pete Werner),,
1,1:59,3,2,BUF 35,7,0,Josh Allen scrambles left end for 3 yards (tackle by Marshon Lattimore),,
1,1:19,1,10,BUF 38,7,0,Josh Allen pass incomplete short left,,
1,1:13,2,10,BUF 38,7,0,Matt Breida left end for -3 yards (tackle by Jalyn Holmes and Demario Davis),,
1,0:32,3,13,BUF 35,7,0,Josh Allen sacked by Carl Granderson for -9 yards,,
Quarter,Time,Down,ToGo,Location,BUF,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,22,BUF 26,7,0,"Matt Haack punts 48 yards, returned by Deonte Harty for 12 yards (tackle by Siran Neal)",,
2,14:51,1,10,NOR 38,7,0,Trevor Siemian pass complete short left to Lil'Jordan Humphrey for 9 yards (tackle by Matt Milano),,
2,14:16,2,1,NOR 47,7,0,Tony Jones left guard for 4 yards (tackle by Matt Milano),,
2,13:42,1,10,BUF 49,7,0,Trevor Siemian pass incomplete short right intended for Ty Montgomery,,
2,13:38,2,10,BUF 49,7,0,Trevor Siemian pass incomplete short left intended for Ty Montgomery,,
2,13:35,3,10,BUF 49,7,0,Ty Montgomery left guard for 8 yards (tackle by Mario Addison and Tremaine Edmunds),,
2,12:51,4,2,BUF 41,7,0,Tony Jones left guard for -5 yards (tackle by Mario Addison),,
2,12:46,1,10,BUF 46,7,0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Bradley Roby),,
2,12:12,2,3,NOR 47,7,0,Devin Singletary right guard for 1 yard (tackle by Pete Werner),,
2,11:37,3,2,NOR 46,7,0,Josh Allen pass complete short right to Gabriel Davis for 26 yards (tackle by Bradley Roby),,
2,10:54,1,10,NOR 20,7,0,Josh Allen pass complete short left to Dawson Knox for 1 yard (tackle by Demario Davis),,
2,10:11,2,9,NOR 19,7,0,Josh Allen pass complete short middle to Matt Breida for 6 yards (tackle by P.J. Williams),,
2,9:33,3,3,NOR 13,7,0,Josh Allen sacked by Kaden Elliss for -3 yards,,
2,8:50,4,6,NOR 16,10,0,Tyler Bass 34 yard field goal good,,
2,8:46,,,BUF 35,10,0,"Tyler Bass kicks off 62 yards, returned by Deonte Harty for 18 yards (tackle by Tyrel Dodson)",,
2,8:42,1,10,NOR 21,10,0,Tony Jones left tackle for 2 yards (tackle by Gregory Rousseau),,
2,8:08,2,8,NOR 23,10,0,Trevor Siemian pass complete short right to Tre'Quan Smith for 7 yards (tackle by Taron Johnson and Jordan Poyer),,
2,7:34,3,1,NOR 30,10,0,Tony Jones left guard for no gain (tackle by Matt Milano),,
2,7:11,4,1,NOR 30,10,0,Trevor Siemian right guard for 2 yards (tackle by Harrison Phillips),,
2,6:35,1,10,NOR 32,10,0,Trevor Siemian pass incomplete deep right intended for Tre'Quan Smith (defended by Tre'Davious White),,
2,6:27,2,10,NOR 32,10,0,Trevor Siemian pass incomplete short right intended for Lil'Jordan Humphrey,,
2,6:21,3,10,NOR 32,10,0,Trevor Siemian pass incomplete short middle intended for Marquez Callaway (defended by Ed Oliver),,
2,6:17,4,10,NOR 32,10,0,"Blake Gillikin punts 43 yards, returned by Marquez Stevenson for 1 yard (tackle by J.T. Gray)",,
2,6:08,1,10,BUF 26,10,0,"Josh Allen pass incomplete deep right intended for Stefon Diggs. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (no play)",,
2,6:01,1,20,BUF 16,10,0,Devin Singletary left guard for 2 yards (tackle by Marcus Williams and P.J. Williams),,
2,5:15,2,18,BUF 18,10,0,Josh Allen pass complete short right to Cole Beasley for 12 yards (tackle by Bradley Roby and Demario Davis),,
2,4:32,3,6,BUF 30,10,0,Josh Allen pass complete short left to Emmanuel Sanders for 7 yards (tackle by Bradley Roby),,
2,4:03,1,10,BUF 37,10,0,Matt Breida left end for 4 yards (tackle by Marcus Williams and Kwon Alexander),,
2,3:19,2,6,BUF 41,10,0,Josh Allen pass short right intended for Stefon Diggs is intercepted by Bradley Roby at NO-47 and returned for 2 yards (tackle by Stefon Diggs),,
