Unnamed: 0,BUF,NOR
First Downs,21,12
Rush-Yds-TDs,32-113-0,25-44-0
Cmp-Att-Yd-TD-INT,23-28-260-4-2,17-30-163-1-1
Sacked-Yards,2-12,2-17
Net Pass Yards,248,146
Total Yards,361,190
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,4-35,4-24
Third Down Conv.,8-13,5-14
Fourth Down Conv.,1-1,1-3
Time of Possession,34:38,25:22
