Quarter,Time,Tm,Detail,BUF,NOR
1.0,7:09,Bills,Dawson Knox 7 yard pass from Josh Allen (Tyler Bass kick),7,0
2.0,8:46,Bills,Tyler Bass 34 yard field goal,10,0
3.0,8:48,Bills,Stefon Diggs 5 yard pass from Josh Allen (Tyler Bass kick),17,0
,4:19,Bills,Dawson Knox 24 yard pass from Josh Allen (Tyler Bass kick),24,0
4.0,14:54,Saints,Nick Vannett 11 yard pass from Trevor Siemian (pass failed),24,6
,8:17,Bills,Matt Breida 23 yard pass from Josh Allen (Tyler Bass kick),31,6
