Unnamed: 0,CLE,TAM
First Downs,15,13
Rush-Yds-TDs,23-104-1,30-119-0
Cmp-Att-Yd-TD-INT,21-38-236-1-2,17-28-182-2-1
Sacked-Yards,0-0,3-13
Net Pass Yards,236,169
Total Yards,340,288
Fumbles-Lost,3-1,1-1
Turnovers,3,2
Penalties-Yards,5-47,6-55
Third Down Conv.,5-13,7-17
Fourth Down Conv.,0-1,0-1
Time of Possession,27:39,32:21
