Quarter,Time,Down,ToGo,Location,CLE,TAM,Detail,EPB,EPA
1,4:16,1,10,CLE 49,0,0,Jake Delhomme pass complete short left to Peyton Hillis for -2 yards (tackle by Tanard Jackson and Geno Hayes),2.190,1.380
1,3:33,2,12,CLE 47,0,0,Jake Delhomme pass incomplete short left intended for Evan Moore (defended by Ronde Barber),1.380,0.700
1,3:27,3,12,CLE 47,0,0,Peyton Hillis middle for 12 yards (tackle by Barrett Ruud),0.700,2.850
1,2:57,1,10,TAM 41,6,0,"Jake Delhomme pass complete deep middle to Mohamed Massaquoi for 41 yards, touchdown",2.850,7.000
1,,,,TAM 2,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,7,0,"Phil Dawson kicks off 69 yards, returned by Micheal Spurlock for 20 yards (tackle by Abram Elam)",0.000,0.340
1,2:40,1,10,TAM 21,7,0,"Josh Freeman pass incomplete deep right intended for Mike Williams. Penalty on Sheldon Brown: Defensive Pass Interfere, 16 yards (no play)",0.340,1.400
1,2:32,1,10,TAM 37,7,0,Josh Freeman for 33 yards (tackle by Abram Elam),1.400,3.580
1,1:54,1,10,CLE 30,7,0,Josh Freeman pass incomplete deep right intended for Mike Williams,3.580,3.030
1,1:46,2,10,CLE 30,7,0,Josh Freeman pass complete short right to Mike Williams for no gain,3.030,2.340
1,0:59,,,,7,0,Timeout #1 by Tampa Bay Buccaneers,0.000,2.340
1,0:59,3,10,CLE 30,7,0,Josh Freeman pass incomplete short right intended for Micheal Spurlock (defended by Joe Haden),2.340,1.410
1,0:55,4,10,CLE 30,7,3,Connor Barth 49 yard field goal good,1.410,3.000
1,,,,TAM 30,7,3,"Connor Barth kicks off 67 yards, returned by Josh Cribbs for 16 yards (tackle by Cody Grimm)",0.000,0.150
1,0:43,1,10,CLE 19,7,3,Peyton Hillis left end for 4 yards (tackle by E.J. Biggers and Barrett Ruud),0.150,0.210
Quarter,Time,Down,ToGo,Location,CLE,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CLE 23,7,3,Jerome Harrison right guard for 1 yard (tackle by Brian Price and Ronde Barber),0.210,-0.420
2,14:19,3,5,CLE 24,7,3,Jake Delhomme pass complete short right to Chansi Stuckey for 6 yards (tackle by E.J. Biggers),-0.420,0.940
2,13:55,1,10,CLE 30,7,3,Jake Delhomme pass complete short right to Ben Watson for 2 yards (tackle by Tanard Jackson),0.940,0.660
2,13:17,2,8,CLE 32,7,3,Jake Delhomme pass complete short right to Chansi Stuckey for 11 yards (tackle by Kyle Moore and E.J. Biggers),0.660,1.800
2,12:36,1,10,CLE 43,7,3,Jerome Harrison right guard for 2 yards (tackle by Barrett Ruud and Roy Miller),1.800,1.520
2,11:57,2,8,CLE 45,7,3,Josh Cribbs pass complete short left to Seneca Wallace for 9 yards (tackle by Ronde Barber),1.520,2.520
2,11:26,1,10,TAM 46,7,3,Jake Delhomme pass complete short right to Brian Robiskie for 6 yards (tackle by E.J. Biggers and Stylez G. White),2.520,2.790
2,10:47,2,4,TAM 40,7,3,Jake Delhomme pass incomplete short right intended for Mohamed Massaquoi,2.790,2.080
2,10:40,3,4,TAM 40,7,3,Jake Delhomme pass incomplete deep left intended for Mohamed Massaquoi,2.080,0.590
2,10:33,4,4,TAM 40,7,3,"Reggie Hodges punts 40 yards, touchback",0.590,-0.280
2,10:24,1,10,TAM 20,7,3,Earnest Graham right tackle for -2 yards (tackle by Matt Roth and Scott Fujita),0.280,-0.630
2,9:43,2,12,TAM 18,7,3,Josh Freeman pass incomplete deep right intended for Mike Williams (defended by Mike Adams),-0.630,-1.330
2,9:37,3,12,TAM 18,7,3,Josh Freeman pass complete short left to Kellen Winslow for 3 yards (tackle by Mike Adams),-1.330,-1.960
2,9:00,4,9,TAM 21,7,3,"Chris Bryan punts 57 yards, returned by Josh Cribbs for 15 yards (tackle by Dekoda Watson)",-1.960,-1.400
2,8:44,1,10,CLE 37,7,3,"Peyton Hillis left guard for 4 yards (tackle by Gerald McCoy). Peyton Hillis fumbles (forced by Gerald McCoy), recovered by Peyton Hillis at CLE-41",1.400,1.400
2,7:59,2,6,CLE 41,7,3,Peyton Hillis left guard for 4 yards (tackle by Brian Price),1.400,1.220
2,7:19,3,2,CLE 45,7,3,Josh Cribbs right end for 6 yards (tackle by Barrett Ruud),1.220,2.320
2,6:37,1,10,TAM 49,7,3,Jerome Harrison middle for 39 yards (tackle by Sean Jones),2.320,4.910
2,5:42,,,,7,3,Timeout #1 by Cleveland Browns,0.000,4.910
2,5:42,1,10,TAM 10,13,3,"Peyton Hillis left end for 10 yards, touchdown",4.910,7.000
2,,,,TAM 2,14,3,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,14,3,"Phil Dawson kicks off 69 yards, returned by Micheal Spurlock for 55 yards (tackle by Phil Dawson). Penalty on Chris Pressley: Illegal Block Above the , 10 yards",0.000,0.340
2,5:24,1,10,TAM 21,14,3,Cadillac Williams middle for 1 yard (tackle by Robaire Smith),0.340,-0.070
2,4:45,2,9,TAM 22,14,3,Josh Freeman pass incomplete deep middle intended for Mike Williams (defended by Sheldon Brown),-0.070,-0.760
2,4:35,3,9,TAM 22,14,3,"Josh Freeman sacked by Marcus Benard for -3 yards. Penalty on CLE: Defensive 12 On-field (Offsetting), Penalty on Josh Freeman: Delay of Game (Offsetting) (no play)",-0.760,-0.760
2,4:17,3,9,TAM 22,14,3,Josh Freeman pass complete deep middle to Micheal Spurlock for 16 yards (tackle by T.J. Ward),-0.760,1.470
2,3:26,1,10,TAM 38,14,3,Cadillac Williams right guard for 4 yards (tackle by Chris Gocong),1.470,1.460
2,3:26,2,6,TAM 42,14,3,Cadillac Williams right end for 1 yard (tackle by Eric Wright),1.460,0.890
2,2:10,,,,14,3,Timeout #2 by Tampa Bay Buccaneers,0.000,0.890
2,2:10,3,5,TAM 43,14,3,Josh Freeman pass complete short middle to Kellen Winslow for 22 yards (tackle by Mike Adams),0.890,3.250
2,2:00,1,10,CLE 35,14,3,Josh Freeman pass incomplete deep left intended for Sammie Stroughter,3.250,2.700
2,1:53,2,10,CLE 35,14,3,"Cadillac Williams right end for 18 yards (tackle by Mike Adams). Penalty on Kellen Winslow: Offensive Holding, 10 yards (no play)",2.700,1.350
2,1:45,2,20,CLE 45,14,3,Josh Freeman pass incomplete deep middle intended for Micheal Spurlock is intercepted by Mike Adams at CLE-21 and returned for 26 yards,1.350,-2.060
2,1:33,1,10,CLE 47,14,3,Jake Delhomme pass complete short right to Ben Watson for 4 yards (tackle by Kyle Moore),2.060,2.060
2,1:06,2,6,TAM 49,14,3,Jake Delhomme pass incomplete,2.060,1.360
2,1:04,3,6,TAM 49,14,3,Jake Delhomme pass complete short middle to Ben Watson for 10 yards (tackle by Tim Crowder and Elbert Mack),1.360,2.980
2,0:38,1,10,TAM 39,14,3,Jake Delhomme pass incomplete short right intended for Ben Watson is intercepted by Ronde Barber at TAM-33 and returned for 64 yards,2.980,-6.510
2,0:26,1,3,CLE 3,14,9,"Josh Freeman pass complete short middle to Mike Williams for 3 yards, touchdown",6.510,7.000
2,,,,CLE 2,14,10,Connor Barth kicks extra point good,0.000,0.000
2,,,,TAM 30,14,10,"Connor Barth kicks off 30 yards, returned by Marcus Benard for 11 yards (tackle by Dekoda Watson)",0.000,2.320
2,0:09,1,10,TAM 49,14,10,Jake Delhomme pass complete short left to Mohamed Massaquoi for 5 yards (tackle by Elbert Mack),2.320,2.460
2,0:05,,,,14,10,Timeout #2 by Cleveland Browns,0.000,2.460
2,0:05,2,5,TAM 44,14,10,Phil Dawson 62 yard field goal no good,2.460,2.320
Quarter,Time,Down,ToGo,Location,CLE,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,14,10,"Connor Barth kicks off 64 yards, returned by Josh Cribbs for 12 yards (tackle by Elbert Mack)",0.000,0.040
3,14:55,1,10,CLE 18,14,10,Jerome Harrison right guard for 6 yards (tackle by Gerald McCoy and Kyle Moore),0.040,0.410
3,14:19,2,4,CLE 24,14,10,Peyton Hillis right tackle for -1 yards (tackle by Ronde Barber and Stylez G. White),0.410,-0.530
3,13:34,3,5,CLE 23,14,10,Jake Delhomme pass complete short right to Evan Moore for 49 yards (tackle by Tanard Jackson),-0.530,3.710
3,12:48,1,10,TAM 28,14,10,"Jerome Harrison middle for 1 yard (tackle by Kyle Moore). Penalty on John St. Clair: Offensive Holding, 10 yards (no play)",3.710,3.050
3,12:31,1,20,TAM 38,14,10,Jake Delhomme pass complete short right to Evan Moore for 16 yards (tackle by Sean Jones),3.050,3.980
3,11:38,2,4,TAM 22,14,10,Peyton Hillis middle for 7 yards (tackle by Sean Jones),3.980,4.580
3,11:00,1,10,TAM 15,14,10,"Peyton Hillis middle for 1 yard (tackle by Barrett Ruud). Peyton Hillis fumbles (forced by Barrett Ruud), recovered by Quincy Black at TAM-14 and returned for 1 yards (tackle by Alex Mack)",4.580,0.220
3,10:53,1,10,TAM 15,14,10,Cadillac Williams left guard for 5 yards (tackle by Matt Roth and Chris Gocong),-0.220,0.080
3,10:18,2,5,TAM 20,14,10,Cadillac Williams left guard for no gain (tackle by T.J. Ward and Robaire Smith),0.080,-0.760
3,9:37,3,5,TAM 20,14,10,Josh Freeman pass incomplete short right intended for Sammie Stroughter (defended by Eric Wright),-0.760,-2.030
3,9:32,4,5,TAM 20,14,10,"Chris Bryan punts 48 yards, returned by Josh Cribbs for 7 yards (tackle by Sabby Piscitelli)",-2.030,-1.530
3,9:20,1,10,CLE 39,14,10,Jerome Harrison right guard for 1 yard (tackle by Geno Hayes),1.530,1.120
3,8:50,2,9,CLE 40,14,10,Jake Delhomme pass incomplete short right intended for Brian Robiskie,1.120,0.430
3,8:43,3,9,CLE 40,14,10,Ben Watson right end for -1 yards (tackle by Geno Hayes),0.430,-0.780
3,8:13,4,10,CLE 39,14,10,"Reggie Hodges punts 36 yards, out of bounds. Penalty on Kaluka Maiava: Offensive Holding, 10 yards (no play)",-0.780,-1.440
3,8:13,4,20,CLE 29,14,10,"Reggie Hodges punts 44 yards, returned by Micheal Spurlock for 3 yards. Penalty on Arrelious Benn: Offensive Holding, 10 yards",-1.440,-0.280
3,7:55,1,10,TAM 20,14,10,Josh Freeman pass complete deep middle to Sammie Stroughter for 18 yards (tackle by Eric Wright),0.280,1.470
3,7:20,1,10,TAM 38,14,10,Cadillac Williams left tackle for no gain (tackle by Chris Gocong and Scott Fujita),1.470,0.920
3,6:46,2,10,TAM 38,14,10,"Cadillac Williams right tackle for 2 yards (tackle by T.J. Ward). Penalty on Davin Joseph: Offensive Holding, 10 yards",0.920,-0.160
3,6:20,2,18,TAM 30,14,10,Josh Freeman pass complete short right to Earnest Graham for 8 yards (tackle by Joe Haden),-0.160,0.230
3,5:47,3,10,TAM 38,14,10,Josh Freeman pass complete short left to Cadillac Williams for 3 yards (tackle by Mike Adams and T.J. Ward),0.230,-0.650
3,4:59,4,7,TAM 41,14,10,"Chris Bryan punts 37 yards, returned by Josh Cribbs for 7 yards (tackle by Andrew Economos). Josh Cribbs fumbles, recovered by Blake Costanzo at CLE-29 (tackle by Andrew Economos)",-0.650,-0.870
3,4:46,1,10,CLE 29,14,10,Jake Delhomme pass incomplete short left intended for Robert Royal,0.870,0.330
3,4:39,2,10,CLE 29,14,10,Jerome Harrison middle for no gain (tackle by Geno Hayes),0.330,-0.360
3,3:56,3,10,CLE 29,14,10,Jake Delhomme pass complete short right to Chansi Stuckey for 4 yards (tackle by Barrett Ruud and Ronde Barber),-0.360,-1.180
3,3:24,4,6,CLE 33,14,10,"Reggie Hodges punts 52 yards, returned by Micheal Spurlock for 5 yards (tackle by Raymond Ventrone). Penalty on Sabby Piscitelli: Offensive Holding, 10 yards",-1.180,0.380
3,3:11,1,10,TAM 10,14,10,Cadillac Williams middle for 5 yards (tackle by Ahtyba Rubin),-0.380,-0.350
3,2:34,2,5,TAM 15,14,10,Josh Freeman pass complete short right to Cadillac Williams for 20 yards (tackle by Eric Wright),-0.350,1.270
3,1:52,1,10,TAM 35,14,10,Cadillac Williams right guard for no gain (tackle by Shaun Rogers and Marcus Benard),1.270,0.720
3,1:09,2,10,TAM 35,14,10,Josh Freeman pass incomplete deep right intended for Kellen Winslow (defended by Mike Adams),0.720,0.040
3,1:01,3,10,TAM 35,14,10,Josh Freeman pass complete short right to Kellen Winslow for 8 yards (tackle by Mike Adams and Chris Gocong),0.040,-0.520
3,0:24,4,2,TAM 43,14,10,Chris Bryan punts 35 yards,-0.520,-0.410
3,0:11,1,10,CLE 22,14,10,Josh Cribbs left tackle for no gain (tackle by Stylez G. White),0.410,-0.130
Quarter,Time,Down,ToGo,Location,CLE,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CLE 22,14,10,Jake Delhomme pass complete short right to Josh Cribbs for 5 yards (tackle by Quincy Black),-0.130,-0.160
4,14:17,3,5,CLE 27,14,10,Jake Delhomme left tackle for 1 yard (tackle by Stylez G. White),-0.160,-1.500
4,13:40,4,4,CLE 28,14,10,"Reggie Hodges punts 48 yards, returned by Micheal Spurlock for 5 yards (tackle by T.J. Ward)",-1.500,-0.870
4,13:27,1,10,TAM 29,14,10,Josh Freeman pass complete deep left to Mike Williams for 17 yards (tackle by Sheldon Brown),0.870,1.990
4,12:48,1,10,TAM 46,14,10,Cadillac Williams middle for 4 yards (tackle by Kenyon Coleman),1.990,1.990
4,12:09,2,6,,14,10,Josh Freeman pass complete short left to Mike Williams for 1 yard (tackle by Sheldon Brown and T.J. Ward),1.990,1.420
4,11:26,3,5,CLE 49,14,10,Josh Freeman sacked by Marcus Benard for -3 yards,1.420,-0.190
4,11:00,4,8,TAM 48,14,10,Chris Bryan punts 45 yards,-0.190,0.380
4,10:47,1,10,CLE 7,14,10,Jerome Harrison right guard for 1 yard (tackle by Geno Hayes),-0.380,-0.710
4,10:09,2,9,CLE 8,14,10,Jerome Harrison left tackle for -4 yards (tackle by Geno Hayes),-0.710,-1.770
4,9:25,3,13,CLE 4,14,10,Jerome Harrison left end for 6 yards (tackle by Stylez G. White),-1.770,-2.490
4,8:50,4,7,CLE 10,14,10,"Reggie Hodges punts 48 yards, returned by Micheal Spurlock for 11 yards (tackle by Raymond Ventrone)",-2.490,-2.460
4,8:37,1,10,CLE 47,14,10,Josh Freeman pass incomplete short middle intended for Kellen Winslow (defended by Ahtyba Rubin),2.460,1.910
4,8:32,2,10,CLE 47,14,10,Josh Freeman pass incomplete short left intended for Sammie Stroughter,1.910,1.220
4,8:26,3,10,CLE 47,14,10,Josh Freeman pass complete short left to Sammie Stroughter for 14 yards (tackle by T.J. Ward),1.220,3.380
4,7:43,1,10,CLE 33,14,10,Josh Freeman pass incomplete deep left intended for Mike Williams,3.380,2.840
4,7:35,2,10,CLE 33,14,10,Cadillac Williams middle for no gain (tackle by Chris Gocong and Scott Fujita),2.840,2.150
4,6:56,3,10,CLE 33,14,16,"Josh Freeman pass complete deep right to Micheal Spurlock for 33 yards, touchdown. Penalty on Joe Haden: Illegal Contact (Declined)",2.150,7.000
4,,,,CLE 2,14,17,Connor Barth kicks extra point good,0.000,0.000
4,,,,TAM 30,14,17,"Connor Barth kicks off 76 yards, returned by Josh Cribbs for 24 yards (tackle by Niko Koutouvides). Penalty on Marcus Benard: Offensive Holding, 6 yards",0.000,-0.380
4,6:39,1,10,CLE 6,14,17,Jake Delhomme pass incomplete short middle intended for Brian Robiskie (defended by E.J. Biggers),-0.380,-0.780
4,6:34,2,10,CLE 6,14,17,Jake Delhomme pass incomplete deep left intended for Ben Watson,-0.780,-1.420
4,6:26,3,10,CLE 6,14,17,Jake Delhomme pass incomplete deep right intended for Mohamed Massaquoi is intercepted by E.J. Biggers at CLE-39,-1.420,-2.980
4,6:17,1,10,CLE 39,14,17,Earnest Graham right guard for 4 yards (tackle by Kenyon Coleman),2.980,2.980
4,5:30,,,,14,17,Timeout #1 by Tampa Bay Buccaneers,0.000,2.980
4,5:30,2,6,CLE 35,14,17,Cadillac Williams left guard for 4 yards (tackle by Kenyon Coleman and Robaire Smith),2.980,2.810
4,4:45,3,2,CLE 31,14,17,Cadillac Williams right guard for 20 yards (tackle by T.J. Ward),2.810,4.840
4,3:55,1,10,CLE 11,14,17,Earnest Graham left guard for 6 yards (tackle by Eric Barton),4.840,5.280
4,3:10,2,4,CLE 5,14,17,Cadillac Williams middle for 3 yards (tackle by Robaire Smith),5.280,5.120
4,2:24,3,1,CLE 2,14,17,"Earnest Graham middle for no gain (tackle by T.J. Ward). Earnest Graham fumbles (forced by T.J. Ward), recovered by Eric Barton at CLE-2 and returned for 1 yards (tackle by Josh Freeman)",5.120,0.380
4,2:16,1,10,CLE 3,14,17,Jake Delhomme pass complete short right to Peyton Hillis for 3 yards (tackle by Geno Hayes),-0.380,-0.560
4,2:00,2,7,CLE 6,14,17,Jake Delhomme pass complete short right to Peyton Hillis for 7 yards (tackle by Barrett Ruud),-0.560,-0.320
4,1:54,1,10,CLE 13,14,17,Jake Delhomme pass incomplete deep middle intended for Evan Moore,-0.320,-0.770
4,1:48,2,10,CLE 13,14,17,"Jake Delhomme pass incomplete. Penalty on John St. Clair: Offensive Holding (Offsetting), Penalty on Ronde Barber: Illegal Contact (Offsetting) (no play)",-0.770,-0.770
4,1:40,2,10,CLE 13,14,17,Jake Delhomme pass incomplete short right intended for Peyton Hillis,-0.770,-1.420
4,1:35,3,10,CLE 13,14,17,Jake Delhomme pass complete short right to Josh Cribbs for 6 yards (tackle by E.J. Biggers),-1.420,-2.140
4,1:03,4,4,CLE 19,14,17,"Penalty on Floyd Womack: False Start, 5 yards (no play)",-2.140,-2.470
4,1:02,4,9,CLE 14,14,17,Jake Delhomme pass incomplete deep right intended for Chansi Stuckey,-2.470,-4.650
4,0:56,1,10,CLE 14,14,17,Cadillac Williams left guard for 2 yards (tackle by Sheldon Brown and T.J. Ward),4.650,4.330
4,0:51,,,,14,17,Timeout #1 by Cleveland Browns,0.000,4.330
4,0:51,2,8,CLE 12,14,17,Cadillac Williams middle for 6 yards (tackle by Ahtyba Rubin),4.330,4.730
4,0:44,,,,14,17,Timeout #2 by Cleveland Browns,0.000,4.730
4,0:44,3,2,CLE 6,14,17,Cadillac Williams right guard for 1 yard (tackle by Brian Schaefering),4.730,3.030
4,0:39,,,,14,17,Timeout #3 by Cleveland Browns,0.000,3.030
4,0:39,4,1,CLE 5,14,17,Josh Freeman sacked by Jason Trusnik for -6 yards,3.030,0.370
4,0:34,1,10,CLE 11,14,17,Jake Delhomme pass incomplete deep left intended for Brian Robiskie,-0.370,-0.780
4,0:27,2,10,CLE 11,14,17,Jake Delhomme pass complete deep left to Evan Moore for 22 yards (tackle by Tanard Jackson),-0.780,1.140
4,0:13,1,10,CLE 33,14,17,Jake Delhomme spiked the ball,1.140,0.590
4,0:13,2,10,CLE 33,14,17,Jake Delhomme pass complete short left to Chansi Stuckey for 9 yards (tackle by Geno Hayes),0.590,1.090
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
