Unnamed: 0,IND,BAL
First Downs,16,19
Rush-Yds-TDs,27-59-2,32-98-1
Cmp-Att-Yd-TD-INT,16-22-275-4-0,22-30-165-1-3
Sacked-Yards,0-0,4-20
Net Pass Yards,275,145
Total Yards,334,243
Fumbles-Lost,0-0,2-2
Turnovers,0,5
Penalties-Yards,7-82,2-15
Third Down Conv.,5-10,6-13
Fourth Down Conv.,0-0,2-4
Time of Possession,26:51,33:09
