Quarter,Time,Tm,Detail,IND,BAL
1.0,11:19,Colts,Reggie Wayne 34 yard pass from Peyton Manning (Adam Vinatieri kick),7,0
,9:09,Colts,Joseph Addai 1 yard rush (Adam Vinatieri kick),14,0
,4:05,Colts,Joseph Addai 19 yard pass from Peyton Manning (Adam Vinatieri kick),21,0
,1:57,Colts,"Safety,",23,0
2.0,11:57,Colts,Joseph Addai 11 yard rush (Adam Vinatieri kick),30,0
,11:44,Ravens,Yamon Figurs 94 yard kickoff return (Matt Stover kick),30,7
,6:20,Colts,Anthony Gonzalez 57 yard pass from Peyton Manning (Adam Vinatieri kick),37,7
3.0,12:37,Colts,Anthony Gonzalez 40 yard pass from Peyton Manning (Adam Vinatieri kick),44,7
4.0,14:10,Ravens,Devard Darling 4 yard pass from Kyle Boller (pass failed),44,13
,0:59,Ravens,Troy Smith 6 yard rush (Matt Stover kick),44,20
