Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Football Team won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",,
1,15:00,1,10,ATL 25,0,0,Cordarrelle Patterson left guard for 5 yards (tackle by Jonathan Bostic and Cole Holcomb),,
1,14:28,2,5,ATL 30,0,0,Matt Ryan pass complete short left to Cordarrelle Patterson for 4 yards (tackle by Cole Holcomb),,
1,13:51,3,1,ATL 34,0,0,Keith Smith up the middle for 2 yards (tackle by Chase Young and Cole Holcomb),,
1,13:11,1,10,ATL 36,0,0,Mike Davis left end for 2 yards (tackle by Jonathan Allen and Cole Holcomb),,
1,12:32,2,8,ATL 38,0,0,Matt Ryan pass complete short middle to Calvin Ridley for 13 yards (tackle by Kendall Fuller),,
1,11:53,1,10,WAS 49,0,0,Mike Davis left tackle for 8 yards (tackle by Jonathan Bostic and Daron Payne),,
1,11:13,2,2,WAS 41,0,0,Mike Davis left end for 2 yards (tackle by Jonathan Bostic),,
1,10:36,1,10,WAS 39,0,0,Matt Ryan pass complete short middle to Kyle Pitts for 15 yards (tackle by Landon Collins and Kamren Curl),,
1,10:00,1,10,WAS 24,0,0,Feleipe Franks right tackle for 3 yards (tackle by Jonathan Bostic),,
1,9:26,2,7,WAS 21,0,0,"Matt Ryan pass complete deep left to Calvin Ridley for no gain. Penalty on Jalen Mayfield: Offensive Holding, 10 yards (accepted) (no play)",,
1,9:00,2,17,WAS 31,0,0,Matt Ryan pass complete short middle to Tajae Sharpe for 7 yards (tackle by William Jackson),,
1,8:32,3,10,WAS 24,0,0,Matt Ryan pass complete short right to Kyle Pitts for 15 yards,,
1,7:54,1,9,WAS 9,0,0,Mike Davis left end for 2 yards (tackle by Bobby McCain),,
1,7:14,2,7,WAS 7,0,0,Matt Ryan pass incomplete short right intended for Olamide Zaccheaus,,
1,7:08,3,7,WAS 7,0,0,Matt Ryan pass incomplete short middle intended for Kyle Pitts,,
1,7:04,4,7,WAS 7,0,3,Younghoe Koo 25 yard field goal good,,
1,7:00,,,ATL 35,0,3,"Cameron Nizialek kicks off 60 yards, returned by DeAndre Carter for 28 yards (tackle by Avery Williams and Mykal Walker)",,
1,6:54,1,10,WAS 33,0,3,Antonio Gibson left end for 7 yards (tackle by Foyesade Oluokun and Fabian Moreau),,
1,6:15,2,3,WAS 40,0,3,Taylor Heinicke pass incomplete short left intended for Terry McLaurin,,
1,6:11,3,3,WAS 40,0,3,Taylor Heinicke pass complete short right to Curtis Samuel for 4 yards (tackle by Foyesade Oluokun),,
1,5:39,1,10,WAS 44,0,3,Antonio Gibson right end for 4 yards (tackle by Deion Jones),,
1,4:59,2,6,WAS 48,0,3,Taylor Heinicke pass complete short right to Antonio Gibson for 1 yard (tackle by Erik Harris and Foyesade Oluokun),,
1,4:16,3,5,WAS 49,0,3,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin,,
1,4:11,4,5,WAS 49,0,3,"Tress Way punts 39 yards, returned by Avery Williams for 2 yards (tackle by Cam Sims)",,
1,4:02,1,10,ATL 14,0,3,Cordarrelle Patterson left guard for 4 yards (tackle by Daron Payne),,
1,3:25,2,6,ATL 18,0,3,Matt Ryan pass complete short right to Cordarrelle Patterson for 10 yards (tackle by Chase Young and Cole Holcomb),,
1,2:43,1,10,ATL 29,0,3,Matt Ryan pass incomplete short right intended for Calvin Ridley (defended by Bobby McCain),,
1,2:39,2,10,ATL 28,0,3,Mike Davis right guard for -3 yards (tackle by Cole Holcomb and Landon Collins),,
1,2:03,3,13,ATL 25,0,3,Matt Ryan pass incomplete short right intended for Cordarrelle Patterson,,
1,1:55,4,13,ATL 25,0,3,Cameron Nizialek punts 46 yards downed by T.J. Green,,
1,1:46,1,10,WAS 29,0,3,Antonio Gibson right tackle for 6 yards (tackle by Adetokunbo Ogundeji),,
1,1:12,2,4,WAS 35,0,3,Taylor Heinicke pass complete short left to Curtis Samuel for 6 yards (tackle by Erik Harris),,
