Quarter,Time,Tm,Detail,WAS,ATL
1.0,7:00,Falcons,Younghoe Koo 25 yard field goal,0,3
2.0,11:07,Falcons,Cordarrelle Patterson 42 yard pass from Matt Ryan (Younghoe Koo kick),0,10
,7:55,Football Team,Terry McLaurin 33 yard pass from Taylor Heinicke (Dustin Hopkins kick),7,10
,2:04,Football Team,Antonio Gibson 2 yard rush (Dustin Hopkins kick failed),13,10
,0:14,Falcons,Cordarrelle Patterson 12 yard pass from Matt Ryan (Younghoe Koo kick),13,17
3.0,14:49,Football Team,DeAndre Carter 101 yard kickoff return (Dustin Hopkins kick failed),19,17
,11:09,Falcons,Cordarrelle Patterson 14 yard pass from Matt Ryan (pass failed),19,23
,5:31,Football Team,Dustin Hopkins 21 yard field goal,22,23
4.0,14:52,Falcons,Mike Davis 7 yard pass from Matt Ryan (Younghoe Koo kick),22,30
,3:52,Football Team,Terry McLaurin 17 yard pass from Taylor Heinicke (pass failed),28,30
,0:33,Football Team,J.D. McKissic 30 yard pass from Taylor Heinicke (run failed),34,30
