Unnamed: 0,WAS,ATL
First Downs,26,24
Rush-Yds-TDs,28-122-1,28-99-0
Cmp-Att-Yd-TD-INT,23-33-290-3-0,25-42-283-4-0
Sacked-Yards,1-0,1-8
Net Pass Yards,290,275
Total Yards,412,374
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,6-85,7-36
Third Down Conv.,4-9,10-16
Fourth Down Conv.,1-2,0-0
Time of Possession,29:17,30:43
