Quarter,Time,Tm,Detail,OAK,BUF
1.0,0:39,Raiders,Jerry Porter 29 yard pass from Rich Gannon (Sebastian Janikowski kick),7,0
2.0,9:48,Bills,Peerless Price 2 yard pass from Drew Bledsoe (Mike Hollis kick),7,7
,8:11,Raiders,Rich Gannon 1 yard rush (Sebastian Janikowski kick),14,7
,6:42,Bills,Dave Moore 2 yard pass from Drew Bledsoe (Mike Hollis kick),14,14
,4:38,Raiders,Charlie Garner 36 yard rush (Sebastian Janikowski kick),21,14
,0:40,Bills,Larry Centers 5 yard rush (Mike Hollis kick),21,21
3.0,10:10,Bills,Mike Hollis 30 yard field goal,21,24
,6:17,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),28,24
,2:19,Bills,Travis Henry 2 yard rush (Mike Hollis kick),28,31
4.0,11:18,Raiders,Charlie Garner 69 yard pass from Rich Gannon (Sebastian Janikowski kick),35,31
,8:02,Raiders,Phillip Buchanon 81 yard interception return (Sebastian Janikowski kick),42,31
,4:20,Raiders,Jerry Rice 20 yard pass from Rich Gannon (Sebastian Janikowski kick),49,31
