Unnamed: 0,OAK,BUF
First Downs,24,29
Rush-Yds-TDs,27-142-3,18-80-2
Cmp-Att-Yd-TD-INT,23-38-357-3-0,32-53-417-2-3
Sacked-Yards,1-4,5-18
Net Pass Yards,353,399
Total Yards,495,479
Fumbles-Lost,1-0,1-0
Turnovers,0,3
Penalties-Yards,10-120,7-43
Third Down Conv.,6-12,7-15
Fourth Down Conv.,0-0,1-1
Time of Possession,28:28,31:32
