Unnamed: 0,SFO,CLE
First Downs,15,18
Rush-Yds-TDs,25-108-1,34-160-1
Cmp-Att-Yd-TD-INT,12-27-125-1-1,18-34-192-0-2
Sacked-Yards,3-18,2-18
Net Pass Yards,107,174
Total Yards,215,334
Fumbles-Lost,1-0,1-0
Turnovers,1,2
Penalties-Yards,12-105,13-119
Third Down Conv.,3-12,3-13
Fourth Down Conv.,0-0,1-1
Time of Possession,26:57,33:03
