Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
1,1:25,,,IND 35,0,10,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,1:25,1,10,ATL 25,0,10,Matt Ryan pass complete short middle to Julio Jones for 17 yards (tackle by Kenny Moore). Penalty on Pierre Desir: Defensive Holding (Declined),0.610,1.730
1,1:08,1,10,ATL 42,0,10,Matt Ryan pass complete short middle to Austin Hooper for 20 yards (tackle by Clayton Geathers),1.730,3.050
1,0:32,1,10,IND 38,0,10,Devonta Freeman left tackle for 6 yards (tackle by Anthony Walker),3.050,3.320
Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,IND 32,0,10,Devonta Freeman left tackle for 4 yards (tackle by Justin Houston),3.320,3.710
2,14:18,1,10,IND 28,0,10,Matt Ryan pass deep middle intended for Luke Stocker is intercepted by Clayton Geathers at IND-3 and returned for no gain,3.710,0.380
2,14:11,1,10,IND 3,0,10,Jacoby Brissett pass complete short middle to Jack Doyle for 14 yards (tackle by Damontae Kazee and Deion Jones),-0.380,-0.060
2,13:29,1,10,IND 17,0,10,Jacoby Brissett pass complete short left to Parris Campbell for 5 yards (tackle by Isaiah Oliver),-0.060,0.210
2,12:46,2,5,IND 22,0,10,Jacoby Brissett pass complete deep left to Eric Ebron for 30 yards (tackle by Kemal Ishmael),0.210,2.390
2,12:18,1,10,ATL 48,0,10,Jordan Wilkins up the middle for -2 yards (tackle by Grady Jarrett),2.390,1.580
2,11:38,2,12,IND 50,0,10,Jordan Wilkins left end for no gain (tackle by De'Vondre Campbell),1.580,0.890
2,10:51,3,12,IND 50,0,10,Jacoby Brissett pass complete short left to Nyheim Hines for 12 yards (tackle by Ricardo Allen),0.890,3.050
2,10:10,1,10,ATL 38,0,10,Nyheim Hines up the middle for 2 yards (tackle by De'Vondre Campbell and Deion Jones),3.050,2.780
2,9:25,2,8,ATL 36,0,10,Jacoby Brissett pass complete short left to T.Y. Hilton for 5 yards (tackle by Deion Jones),2.780,2.740
2,8:48,3,3,ATL 31,0,10,"Penalty on Jack Crawford: Neutral Zone Infraction, 5 yards (no play)",2.740,3.840
2,8:26,1,10,ATL 26,0,10,Jacoby Brissett pass complete short middle to Jack Doyle for 11 yards (tackle by Damontae Kazee),3.840,4.580
2,7:45,1,10,ATL 15,0,10,Marlon Mack up the middle for 9 yards (tackle by De'Vondre Campbell and Ricardo Allen),4.580,5.600
2,7:23,2,1,ATL 6,0,10,Jacoby Brissett pass complete short left to T.Y. Hilton for 5 yards (tackle by Keanu Neal and Isaiah Oliver),5.600,6.970
2,7:00,,,,,,Timeout #2 by Atlanta Falcons,,
2,7:00,1,1,ATL 1,0,10,Jacoby Brissett pass incomplete short right. Penalty on De'Vondre Campbell: Defensive Holding (no play),6.970,6.970
2,6:53,1,1,ATL 1,0,10,Marlon Mack right tackle for -2 yards (tackle by Kemal Ishmael),6.970,5.530
2,6:09,2,3,ATL 3,0,10,Jacoby Brissett pass incomplete short right intended for Zach Pascal,5.530,4.720
2,5:59,,,,,,Timeout #1 by Indianapolis Colts,,
2,5:59,3,3,ATL 3,0,10,Jacoby Brissett pass incomplete short right,4.720,3.040
2,5:54,4,3,ATL 3,0,13,Adam Vinatieri 21 yard field goal good,3.040,3.000
2,5:51,,,IND 35,0,13,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,5:51,1,10,ATL 25,0,13,Matt Ryan pass complete short middle to Mohamed Sanu for 11 yards (tackle by Khari Willis),0.610,1.330
2,5:17,1,10,ATL 36,0,13,Matt Ryan pass complete short left to Mohamed Sanu for 10 yards (tackle by Malik Hooker),1.330,1.990
2,4:49,1,10,ATL 46,0,13,Devonta Freeman up the middle for 24 yards (tackle by Pierre Desir),1.990,3.580
2,4:25,1,10,IND 30,0,13,Devonta Freeman right guard for no gain (tackle by Bobby Okereke),3.580,3.030
2,3:54,2,10,IND 30,0,13,Matt Ryan pass complete short middle to Julio Jones for 15 yards (tackle by Bobby Okereke and Khari Willis),3.030,4.580
2,3:19,1,10,IND 15,0,13,Devonta Freeman up the middle for -1 yards (tackle by Anthony Walker),4.580,3.810
2,2:36,2,11,IND 16,0,13,Matt Ryan pass incomplete deep left intended for Austin Hooper,3.810,3.040
2,2:30,3,11,IND 16,0,13,Matt Ryan pass incomplete short left,3.040,2.380
2,2:24,4,11,IND 16,3,13,Matt Bryant 34 yard field goal good,2.380,3.000
2,2:20,,,ATL 35,3,13,"Matt Wile kicks off 60 yards, returned by Parris Campbell for 31 yards (tackle by Kendall Sheffield)",0.000,1.330
2,2:13,1,10,IND 36,3,13,Nyheim Hines right guard for 1 yard (tackle by Adrian Clayborn and Damontae Kazee),1.330,0.930
2,2:00,2,9,IND 37,3,13,Jacoby Brissett pass incomplete short left intended for Deon Cain,0.930,0.230
2,1:56,3,9,IND 37,3,13,"Jacoby Brissett pass incomplete short left intended for Eric Ebron. Penalty on Keanu Neal: Defensive Pass Interference, 13 yards (no play)",0.230,2.260
2,1:51,1,10,IND 50,3,13,Jacoby Brissett pass incomplete short left intended for T.Y. Hilton,2.260,1.710
2,1:47,2,10,IND 50,3,13,Jacoby Brissett pass complete short right to Deon Cain for 10 yards (tackle by Damontae Kazee),1.710,2.920
2,1:21,1,10,ATL 40,3,13,Jacoby Brissett pass complete short right to Nyheim Hines for -3 yards (tackle by Deion Jones),2.920,1.970
2,0:55,2,13,ATL 43,3,13,Jacoby Brissett pass complete short right to T.Y. Hilton for 12 yards (tackle by Desmond Trufant),1.970,2.870
2,0:35,3,1,ATL 31,3,13,"Jacoby Brissett sacked by Keanu Neal for no gain Penalty on ATL: Defensive Too Many Men on Field, 5 yards (no play)",2.870,3.840
2,0:30,1,10,ATL 26,3,13,Jacoby Brissett pass complete short middle to Nyheim Hines for 17 yards (tackle by Keanu Neal),3.840,5.140
2,0:20,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:20,1,9,ATL 9,3,13,"Jacoby Brissett pass incomplete short middle intended for T.Y. Hilton (defended by Isaiah Oliver). Penalty on Keanu Neal: Unsportsmanlike Conduct, 5 yards",5.140,6.280
2,0:16,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:16,1,4,ATL 4,3,13,Jacoby Brissett pass incomplete short left intended for Nyheim Hines (defended by Deion Jones),6.280,5.340
2,0:13,2,4,ATL 4,3,19,"Jacoby Brissett pass complete short right to T.Y. Hilton for 4 yards, touchdown",5.340,7.000
2,0:09,,,ATL 15,3,20,Adam Vinatieri kicks extra point good,0.000,0.000
2,0:09,,,IND 35,3,20,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,0:09,1,10,ATL 25,3,20,Matt Ryan kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,3,20,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ATL 25,3,20,Matt Ryan pass complete short right to Luke Stocker for 5 yards (tackle by Pierre Desir),0.610,0.740
3,14:34,2,5,ATL 30,3,20,Devonta Freeman left end for -3 yards (tackle by Anthony Walker),0.740,-0.360
3,13:56,3,8,ATL 27,3,20,Matt Ryan pass complete short right to Mohamed Sanu for 16 yards (tackle by Pierre Desir and Rock Ya-Sin),-0.360,1.800
3,13:15,1,10,ATL 43,3,20,Devonta Freeman right guard for 3 yards (tackle by Denico Autry),1.800,1.660
3,12:40,2,7,ATL 46,3,20,Matt Ryan pass complete short left to Justin Hardy for 6 yards (tackle by Kenny Moore),1.660,1.750
3,11:58,3,1,IND 48,3,20,Devonta Freeman up the middle for 1 yard (tackle by Bobby Okereke and Denico Autry),1.750,2.460
3,11:23,1,10,IND 47,3,20,Matt Ryan pass complete deep right to Julio Jones for 34 yards (tackle by Pierre Desir),2.460,4.710
3,10:37,1,10,IND 13,9,20,"Matt Ryan pass complete short middle to Austin Hooper for 13 yards, touchdown",4.710,7.000
3,10:30,,,IND 15,10,20,Matt Bryant kicks extra point good,0.000,0.000
3,10:30,,,ATL 35,10,20,"Matt Wile kicks off 65 yards, touchback.",0.000,0.610
3,10:30,1,10,IND 25,10,20,Marlon Mack left end for -3 yards (tackle by Grady Jarrett),0.610,-0.340
3,9:50,2,13,IND 22,10,20,Jacoby Brissett sacked by and Takkarist McKinley for -10 yards,-0.340,-2.940
3,9:28,3,23,IND 12,10,20,Jacoby Brissett pass complete short left to Parris Campbell for 8 yards (tackle by Deion Jones),-2.940,-2.030
3,9:01,4,15,IND 20,10,20,"Rigoberto Sanchez punts 53 yards, returned by Kenjon Barner for 10 yards (tackle by Ryan Lewis). Penalty on Blidi Wreh-Wilson: Illegal Blindside Block, 15 yards",-2.030,-0.410
3,8:47,1,10,ATL 22,10,20,Matt Ryan pass complete short left to Devonta Freeman for -5 yards (tackle by Al-Quadin Muhammad),0.410,-0.940
3,8:07,2,15,ATL 17,10,20,Matt Ryan pass complete short left to Devonta Freeman for 5 yards (tackle by Ben Banogu and Anthony Walker),-0.940,-0.820
3,7:23,3,10,ATL 22,10,20,Matt Ryan pass complete short left to Julio Jones for 15 yards (tackle by Clayton Geathers),-0.820,1.400
3,6:39,1,10,ATL 37,10,20,Matt Ryan right end for 4 yards (tackle by Bobby Okereke),1.400,1.400
3,5:59,2,6,ATL 41,10,20,Devonta Freeman left end for 4 yards (tackle by Kenny Moore and Anthony Walker),1.400,1.220
3,5:17,3,2,ATL 45,10,20,"Matt Ryan pass complete short right to Austin Hooper for 3 yards (tackle by Pierre Desir). Penalty on Calvin Ridley: Offensive Pass Interference, 10 yards (no play)",1.220,-0.100
3,4:52,3,12,ATL 35,10,20,Matt Ryan pass complete deep middle to Julio Jones for 21 yards (tackle by Rock Ya-Sin),-0.100,2.650
3,4:12,1,10,IND 44,10,20,Devonta Freeman right end for 2 yards (tackle by Kenny Moore),2.650,2.380
3,3:37,2,8,IND 42,10,20,Devonta Freeman up the middle for -2 yards (tackle by Ben Banogu),2.380,1.420
3,3:02,3,10,IND 44,10,20,Matt Ryan pass complete short left to Mohamed Sanu for 12 yards (tackle by Anthony Walker),1.420,3.450
3,2:26,1,10,IND 32,10,20,Devonta Freeman left tackle for 3 yards (tackle by Justin Houston),3.450,3.310
3,1:53,2,7,IND 29,10,20,Matt Ryan pass complete short left to Kenjon Barner for 4 yards (tackle by Anthony Walker),3.310,3.140
3,1:18,3,3,IND 25,10,20,Matt Ryan pass complete short left to Calvin Ridley for 6 yards (tackle by Kenny Moore),3.140,4.310
3,0:40,1,10,IND 19,10,20,Devonta Freeman right guard for 12 yards (tackle by Khari Willis),4.310,5.600
Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,7,IND 7,10,20,Devonta Freeman left tackle for 3 yards (tackle by Kenny Moore),5.600,5.340
4,14:38,2,4,IND 4,10,20,Matt Ryan pass complete short middle to Luke Stocker for 2 yards (tackle by Bobby Okereke and Anthony Walker),5.340,4.950
4,13:56,3,2,IND 2,16,20,"Matt Ryan pass complete short right to Austin Hooper for 2 yards, touchdown, touchdown",4.950,7.000
4,13:51,,,IND 15,17,20,Matt Bryant kicks extra point good,0.000,0.000
4,13:51,,,ATL 35,17,20,"Matt Wile kicks off 65 yards, touchback.",0.000,0.610
4,13:51,1,10,IND 25,17,20,"Penalty on IND: Delay of Game, 5 yards (no play)",0.610,0.280
4,13:51,1,15,IND 20,17,20,Jacoby Brissett pass incomplete short right intended for Marlon Mack,0.280,-0.610
4,13:43,2,15,IND 20,17,20,Jacoby Brissett pass complete short left to Mo Alie-Cox for 16 yards (tackle by Isaiah Oliver),-0.610,1.330
4,13:03,1,10,IND 36,17,20,Marlon Mack left end for -5 yards (tackle by Deion Jones),1.330,0.120
4,12:22,2,15,IND 31,17,20,"Penalty on Grady Jarrett: Neutral Zone Infraction, 5 yards (no play)",0.120,0.790
4,12:10,2,10,IND 36,17,20,Jacoby Brissett pass complete short left to Marlon Mack for 5 yards (tackle by Deion Jones),0.790,0.760
4,11:37,3,5,IND 41,17,20,Jacoby Brissett up the middle for 6 yards (tackle by Damontae Kazee),0.760,2.060
4,10:50,1,10,IND 47,17,20,Jacoby Brissett pass incomplete deep middle intended for Eric Ebron (defended by Isaiah Oliver),2.060,1.520
4,10:44,2,10,IND 47,17,20,Jacoby Brissett pass incomplete short left intended for Deon Cain,1.520,0.830
4,10:39,3,10,IND 47,17,20,"Jacoby Brissett pass incomplete short right intended for Zach Pascal. Penalty on Damontae Kazee: Defensive Holding, 5 yards (no play)",0.830,2.390
4,10:33,1,10,ATL 48,17,20,Jacoby Brissett pass complete short right to Mo Alie-Cox for 9 yards (tackle by Kemal Ishmael),2.390,3.060
4,10:06,2,1,ATL 39,17,20,Marlon Mack left guard for no gain (tackle by Allen Bailey and Foyesade Oluokun),3.060,2.340
4,9:24,3,1,ATL 39,17,20,Jacoby Brissett pass complete short left to Zach Pascal for 35 yards (tackle by Isaiah Oliver),2.340,6.280
4,8:47,1,4,ATL 4,17,26,"Marlon Mack right end for 4 yards, touchdown",6.280,7.000
4,8:40,,,ATL 15,17,27,Adam Vinatieri kicks extra point good,0.000,0.000
4,8:40,,,IND 35,17,27,"Rigoberto Sanchez kicks off 64 yards, returned by Kenjon Barner for 28 yards (tackle by Clayton Geathers)",0.000,0.870
4,8:35,1,10,ATL 29,17,27,"Matt Ryan pass complete short right to Devonta Freeman for 3 yards (tackle by Al-Quadin Muhammad). Penalty on Jamon Brown: Illegal Block Above the Waist, 10 yards (no play)",0.870,0.110
4,8:19,1,20,ATL 19,17,27,Matt Ryan pass complete short right to Devonta Freeman for 7 yards (tackle by Anthony Walker),0.110,-0.080
4,7:53,2,13,ATL 26,17,27,Matt Ryan pass complete short right to Austin Hooper for 12 yards (tackle by Anthony Walker),-0.080,0.830
4,7:18,3,1,ATL 38,17,27,Mohamed Sanu left end for 2 yards (tackle by Quincy Wilson),0.830,1.600
4,6:53,1,10,ATL 40,17,27,"Matt Ryan pass complete short left to Mohamed Sanu for 6 yards (tackle by Quincy Wilson). Penalty on Jamon Brown: Offensive Holding, 10 yards (no play)",1.600,0.940
4,6:28,1,20,ATL 30,17,27,Matt Ryan pass complete short middle to Mohamed Sanu for 10 yards (tackle by Anthony Walker),0.940,1.050
4,6:02,2,10,ATL 40,17,27,Matt Ryan pass complete short left to Julio Jones for 12 yards (tackle by Clayton Geathers),1.050,2.390
4,5:38,1,10,IND 48,17,27,Matt Ryan pass incomplete short left intended for Devonta Freeman,2.390,1.850
4,5:32,2,10,IND 48,17,27,"Matt Ryan pass incomplete short right intended for Calvin Ridley. Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",1.850,0.500
4,5:24,2,20,ATL 42,17,27,Matt Ryan pass complete short middle to Austin Hooper for 9 yards (tackle by Anthony Walker),0.500,1.030
4,4:57,3,11,IND 49,17,27,"Matt Ryan pass incomplete short left intended for Julio Jones. Penalty on Quincy Wilson: Defensive Pass Interference, 15 yards (no play)",1.030,3.310
4,4:52,1,10,IND 34,17,27,"Matt Ryan pass complete short middle to Mohamed Sanu for 16 yards (tackle by Bobby Okereke). Penalty on Kemoko Turay: Roughing the Passer, 9 yards",3.310,5.140
4,4:43,1,9,IND 9,17,27,"Penalty on Kaleb McGary: False Start, 5 yards (no play)",5.140,4.440
4,4:43,1,14,IND 14,17,27,Matt Ryan pass complete short left to Julio Jones for 4 yards (tackle by Kenny Moore),4.440,4.190
4,4:17,2,10,IND 10,23,27,"Matt Ryan pass complete short left to Julio Jones for 10 yards, touchdown",4.190,7.000
4,4:11,,,IND 15,24,27,Matt Bryant kicks extra point good,0.000,0.000
4,4:11,,,ATL 35,24,27,"Matt Wile kicks off 65 yards, touchback.",0.000,0.610
4,4:11,1,10,IND 25,24,27,Jacoby Brissett pass complete short right to Eric Ebron for 8 yards (tackle by Isaiah Oliver and Ricardo Allen),0.610,1.140
4,3:26,2,2,IND 33,24,27,Marlon Mack up the middle for 4 yards (tackle by Jack Crawford),1.140,1.400
4,2:41,1,10,IND 37,24,27,Marlon Mack left guard for 4 yards (tackle by Tyeler Davison),1.400,1.400
4,2:36,,,,,,Timeout #1 by Atlanta Falcons,,
4,2:36,2,6,IND 41,24,27,Marlon Mack right end for 26 yards (tackle by Deion Jones),1.400,3.380
4,2:27,,,,,,Timeout #2 by Atlanta Falcons,,
4,2:27,1,10,ATL 33,24,27,Marlon Mack left guard for 3 yards (tackle by John Cominsky and De'Vondre Campbell),3.380,3.240
4,2:00,2,7,ATL 30,24,27,Marlon Mack up the middle for 3 yards (tackle by Kemal Ishmael),3.240,2.940
4,1:56,,,,,,Timeout #3 by Atlanta Falcons,,
4,1:56,,,,,,Timeout #2 by Indianapolis Colts,,
4,1:56,3,4,ATL 27,24,27,Jacoby Brissett pass complete short right to Jack Doyle for 11 yards (tackle by Damontae Kazee),2.940,4.510
4,1:09,1,10,ATL 16,24,27,Jacoby Brissett kneels for -1 yards,4.510,3.770
4,0:37,2,11,ATL 17,24,27,Jacoby Brissett kneels for -1 yards,3.770,2.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
