Quarter,Time,Tm,Detail,ATL,IND
1.0,9:30,Colts,Adam Vinatieri 49 yard field goal,0,3
,1:25,Colts,Zach Pascal 18 yard pass from Jacoby Brissett (Adam Vinatieri kick),0,10
2.0,5:51,Colts,Adam Vinatieri 21 yard field goal,0,13
,2:20,Falcons,Matt Bryant 34 yard field goal,3,13
,0:09,Colts,T.Y. Hilton 4 yard pass from Jacoby Brissett (Adam Vinatieri kick),3,20
3.0,10:30,Falcons,Austin Hooper 13 yard pass from Matt Ryan (Matt Bryant kick),10,20
4.0,13:51,Falcons,Austin Hooper 2 yard pass from Matt Ryan (Matt Bryant kick),17,20
,8:40,Colts,Marlon Mack 4 yard rush (Adam Vinatieri kick),17,27
,4:11,Falcons,Julio Jones 10 yard pass from Matt Ryan (Matt Bryant kick),24,27
