Quarter,Time,Tm,Detail,LAC,JAX
1.0,13:33,Chargers,Austin Ekeler 13 yard rush (Cameron Dicker kick),7,0
,5:30,Chargers,Cameron Dicker 22 yard field goal,10,0
,0:44,Chargers,Austin Ekeler 6 yard rush (Cameron Dicker kick),17,0
2.0,7:12,Chargers,Gerald Everett 9 yard pass from Justin Herbert (Cameron Dicker kick),24,0
,4:25,Chargers,Cameron Dicker 23 yard field goal,27,0
,0:24,Jaguars,Evan Engram 9 yard pass from Trevor Lawrence (Riley Patterson kick),27,7
3.0,5:11,Jaguars,Marvin Jones 6 yard pass from Trevor Lawrence (Riley Patterson kick),27,14
,2:58,Chargers,Cameron Dicker 50 yard field goal,30,14
,0:44,Jaguars,Zay Jones 39 yard pass from Trevor Lawrence (pass failed),30,20
4.0,5:25,Jaguars,Christian Kirk 9 yard pass from Trevor Lawrence (Trevor Lawrence run),30,28
,0:00,Jaguars,Riley Patterson 36 yard field goal,30,31
