Unnamed: 0,SFO,TEN
First Downs,22,16
Rush-Yds-TDs,21-83-1,24-90-1
Cmp-Att-Yd-TD-INT,26-35-322-1-2,22-30-209-1-0
Sacked-Yards,2-16,4-21
Net Pass Yards,306,188
Total Yards,389,278
Fumbles-Lost,3-0,0-0
Turnovers,2,0
Penalties-Yards,5-41,6-57
Third Down Conv.,3-8,9-16
Fourth Down Conv.,1-2,0-0
Time of Possession,30:31,29:29
