Quarter,Time,Tm,Detail,SFO,TEN
1.0,9:57,49ers,Jeff Wilson 1 yard rush (Robbie Gould kick),7,0
2.0,8:31,49ers,Robbie Gould 48 yard field goal,10,0
3.0,8:45,Titans,Randy Bullock 38 yard field goal,10,3
,7:13,Titans,D'Onta Foreman 3 yard rush (Randy Bullock kick),10,10
4.0,13:02,Titans,A.J. Brown 18 yard pass from Ryan Tannehill (Randy Bullock kick),10,17
,2:20,49ers,Brandon Aiyuk 2 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,17
,0:04,Titans,Randy Bullock 44 yard field goal,17,20
