Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Caleb Sturgis kicks off 57 yards, returned by Ka'Deem Carey for 16 yards (tackle by Rodney McLeod)",0.000,-0.540
1,14:54,1,10,CHI 24,0,0,Jeremy Langford left tackle for no gain (tackle by Brandon Graham),0.540,0.000
1,14:26,2,10,CHI 24,0,0,Jay Cutler sacked by Malcolm Jenkins for -10 yards,0.000,-2.450
1,13:50,3,20,CHI 14,0,0,Jay Cutler pass incomplete short left intended for Jeremy Langford,-2.450,-2.470
1,13:46,4,20,CHI 14,0,0,"Pat O'Donnell punts 40 yards, fair catch by Darren Sproles",-2.470,-1.990
1,13:37,1,10,PHI 46,0,0,Carson Wentz pass complete short left to Nelson Agholor for 9 yards (tackle by Tracy Porter),1.990,2.670
1,12:58,2,1,CHI 45,0,0,Carson Wentz pass complete short right to Dorial Green-Beckham for 9 yards (tackle by Jacoby Glenn),2.670,3.180
1,12:19,1,10,CHI 36,0,0,Carson Wentz pass complete short left to Jordan Matthews for 4 yards (tackle by Harold Jones-Quartey),3.180,3.180
1,11:43,2,6,CHI 32,0,0,Carson Wentz pass complete short left to Jordan Matthews for 2 yards (tackle by Harold Jones-Quartey),3.180,2.740
1,10:59,3,4,CHI 30,0,0,Carson Wentz pass complete short right to Darren Sproles for 2 yards (tackle by Jacoby Glenn),2.740,1.700
1,10:12,4,2,CHI 28,0,0,Carson Wentz pass complete short right to Dorial Green-Beckham for 9 yards (tackle by Harold Jones-Quartey),1.700,4.310
1,9:35,1,10,CHI 19,0,0,Darren Sproles right guard for 3 yards (tackle by Jacoby Glenn),4.310,4.180
1,8:55,2,7,CHI 16,0,0,Carson Wentz pass incomplete deep right intended for Brent Celek (defended by Bryce Callahan),4.180,3.410
1,8:51,3,7,CHI 16,0,0,Carson Wentz pass complete short left to Nelson Agholor for 7 yards (tackle by Tracy Porter),3.410,5.140
1,8:19,1,9,CHI 9,0,0,Darren Sproles left guard for 2 yards (tackle by Willie Young),5.140,4.760
1,7:33,2,7,CHI 7,0,0,Carson Wentz pass complete short left to Ryan Mathews for 3 yards (tackle by Adrian Amos),4.760,4.490
1,6:52,3,4,CHI 4,0,0,Carson Wentz sacked by Sam Acho for -3 yards,4.490,2.970
1,6:15,4,7,CHI 7,3,0,Caleb Sturgis 25 yard field goal good,2.970,3.000
1,6:15,,,PHI 35,3,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
1,6:11,1,10,CHI 25,3,0,Ka'Deem Carey left guard for 2 yards (tackle by Malcolm Jenkins),0.610,0.330
1,5:39,2,8,CHI 27,3,0,"Jay Cutler pass incomplete deep left intended for Kevin White. Penalty on Josh Sitton: Offensive Holding, 10 yards (no play)",0.330,-1.150
1,5:33,2,18,CHI 17,3,0,Jay Cutler pass complete short left to Eddie Royal for 31 yards (tackle by Rodney McLeod),-1.150,2.130
1,4:54,1,10,CHI 48,3,0,Jay Cutler pass complete deep middle to Alshon Jeffery for 22 yards (tackle by Nolan Carroll and Malcolm Jenkins),2.130,3.580
1,4:14,1,10,PHI 30,3,0,Jay Cutler pass complete short left to Zach Miller for 12 yards (tackle by Mychal Kendricks),3.580,4.370
1,3:32,1,10,PHI 18,3,0,Jay Cutler pass complete short middle to Ka'Deem Carey for 3 yards (tackle by Mychal Kendricks),4.370,4.250
1,2:57,2,7,PHI 15,3,0,Jay Cutler pass complete short right to Alshon Jeffery for 2 yards (tackle by Jalen Mills),4.250,3.820
1,2:11,3,5,PHI 13,3,0,Jay Cutler pass incomplete short right intended for Eddie Royal (defended by Ron Brooks),3.820,2.620
1,2:06,4,5,PHI 13,3,0,Connor Barth 31 yard field goal no good,2.620,-0.340
1,2:01,1,10,PHI 21,3,0,Carson Wentz pass complete short right to Jordan Matthews for 4 yards (tackle by Tracy Porter),0.340,0.340
1,1:20,2,6,PHI 25,3,0,"Ryan Mathews right guard for 6 yards (tackle by Akiem Hicks). Penalty on Jason Peters: Offensive Holding, 10 yards (no play)",0.340,-1.140
1,0:50,2,16,PHI 15,3,0,Darren Sproles left end for 7 yards (tackle by Bryce Callahan),-1.140,-0.760
1,0:06,3,9,PHI 22,3,0,Carson Wentz pass incomplete short right intended for Dorial Green-Beckham,-0.760,-1.900
1,0:01,4,9,PHI 22,3,0,"Donnie Jones punts 43 yards, fair catch by Eddie Royal",-1.900,-1.270
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 35,3,0,Jay Cutler pass complete short right to Eddie Royal for 8 yards (tackle by Rodney McLeod),1.270,1.800
2,14:20,2,2,CHI 43,3,0,Ka'Deem Carey right end for 1 yard (tackle by Stephen Tulloch),1.800,1.220
2,13:37,3,1,CHI 44,3,0,Paul Lasike right guard for 2 yards (tackle by Vinny Curry),1.220,1.990
2,12:52,1,10,CHI 46,3,0,Jay Cutler pass complete deep right to Alshon Jeffery for 49 yards (tackle by Jalen Mills),1.990,6.060
2,12:02,1,5,PHI 5,3,0,Jeremy Langford left tackle for no gain (tackle by Mychal Kendricks),6.060,5.150
2,11:25,2,5,PHI 5,3,0,"Jay Cutler pass incomplete short left intended for Alshon Jeffery. Penalty on Nolan Carroll: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
2,11:19,1,1,PHI 1,3,6,"Jeremy Langford left tackle for 1 yard, touchdown",6.970,7.000
2,11:19,,,PHI 1,3,7,Connor Barth kicks extra point good,0.000,0.000
2,11:19,,,CHI 35,3,7,"Connor Barth kicks off 69 yards, returned by Wendell Smallwood for 30 yards (tackle by Deiondre' Hall)",0.000,-0.670
2,11:11,1,10,PHI 26,3,7,Ryan Mathews left end for no gain (tackle by Willie Young),0.670,0.130
2,10:35,2,10,PHI 26,3,7,"Carson Wentz pass complete deep left to Brent Celek for 19 yards (tackle by Adrian Amos). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",0.130,-1.370
2,10:09,2,20,PHI 16,3,7,Carson Wentz pass incomplete short left intended for Wendell Smallwood (defended by Jerrell Freeman). Penalty on Jason Kelce: Face Mask (15 Yards) (Declined),-1.370,-2.230
2,10:03,3,20,PHI 16,3,7,Darren Sproles left guard for no gain (tackle by Sam Acho and Willie Young),-2.230,-2.390
2,9:29,4,20,PHI 16,3,7,Donnie Jones punts 32 yards,-2.390,-2.390
2,9:17,1,10,PHI 48,3,7,Jay Cutler sacked by Brandon Graham for -1 yards,2.390,1.710
2,8:31,2,11,PHI 49,3,7,Jay Cutler pass complete short right to Kevin White for 9 yards (tackle by Jalen Mills),1.710,2.210
2,7:49,3,2,PHI 40,3,7,Jay Cutler pass incomplete short right intended for Eddie Royal,2.210,0.590
2,7:45,4,2,PHI 40,3,7,"Pat O'Donnell punts 28 yards, fair catch by Darren Sproles",0.590,0.350
2,7:38,1,10,PHI 12,3,7,Josh Huff left end for no gain (tackle by Jacoby Glenn),-0.350,-0.780
