Unnamed: 0,PHI,CHI
First Downs,21,16
Rush-Yds-TDs,32-100-2,18-64-1
Cmp-Att-Yd-TD-INT,21-34-190-1-0,21-29-235-0-1
Sacked-Yards,2-10,3-15
Net Pass Yards,180,220
Total Yards,280,284
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,5-34,7-60
Third Down Conv.,3-15,4-10
Fourth Down Conv.,3-3,0-1
Time of Possession,36:05,23:55
