Quarter,Time,Tm,Detail,TEN,NYJ
1,7:06,Titans,Randy Bullock 44 yard field goal,3,0
2,12:53,Titans,Randy Bullock 46 yard field goal,6,0
,10:29,Titans,Randy Bullock 36 yard field goal,9,0
,4:49,Jets,Michael Carter 2 yard rush (Matt Ammendola kick),9,7
3,0:19,Jets,Matt Ammendola 27 yard field goal,9,10
4,13:14,Titans,Derrick Henry 1 yard rush (MyCole Pruitt pass from Ryan Tannehill),17,10
,11:30,Jets,Jamison Crowder 3 yard pass from Zach Wilson (Matt Ammendola kick),17,17
,9:06,Jets,Corey Davis 53 yard pass from Zach Wilson (Matt Ammendola kick),17,24
,0:16,Titans,Cameron Batson 2 yard pass from Ryan Tannehill (Randy Bullock kick),24,24
OT,4:31,Jets,Matt Ammendola 22 yard field goal,24,27
