Quarter,Time,Tm,Detail,CAR,CLE
1.0,6:52,Browns,Phil Dawson 25 yard field goal,0,3
,0:09,Panthers,Wesley Walls 24 yard pass from Rodney Peete (Shayne Graham kick),7,3
3.0,0:07,Browns,Phil Dawson 33 yard field goal,7,6
4.0,9:13,Panthers,Shayne Graham 43 yard field goal,10,6
,2:53,Panthers,Shayne Graham 44 yard field goal,13,6
